chinese,frequency,pinyin,posseg
暗示,808,an4-shi4,v
安塞縣,5,an1-sai1-xian4,ns
璦,150,ai4,x
矮刀豆,3,ai3-dao1-dou4,n
阿斯頓,28,a1-si1-dun4,nr
阿拉伯糖,3,a1-la1-bo2-tang2,nr
阿紫之,2,a1-zi3-zhi1,nr
埃姆斯,7,ai1-mu3-si1,nr
埃尼克,4,ai1-ni2-ke4,ns
安渡灘,3,an1-du4-tan1,nr
安提阿,3,an1-ti2-a1,nr
案發,61,an4-fa1,n
阿拉科,11,a1-la1-ke1,nr
哀憫,3,ai1-min3,v
暗屋,3,an4-wu1,n
愛國獎券,3,ai4-guo2-jiang3-quan4,n
昂首挺胸,36,ang2-shou3-ting3-xiong1,l
鰲憤龍愁,3,ao2-fen4-long2-chou2,n
奧布寧斯,5,ao4-bu4-ning2-si1,ns
艾姆赫斯,2,ai4-mu3-he4-si1,nr
阿普拉,7,a1-pu3-la1,nrt
阿紫射,2,a1-zi3-she4,nr
安其業,3,an1-qi2-ye4,nr
暗器,1031,an4-qi4,n
愛爾蘭島,22,ai4-er3-lan2-dao3,ns
安森美,3,an1-sen1-mei3,nr
岸然道貌,3,an4-ran2-dao4-mao4,n
阿爾及利亞人,10,a1-er3-ji2-li4-ya4-ren2,nz
哀鴻遍野,7,ai1-hong2-bian4-ye3,i
奧敦周,2,ao4-dun1-zhou1,nr
安全監控,4,an1-quan2-jian1-kong4,j
挨肩疊背,3,ai1-jian1-die2-bei4,i
阿美士,6,a1-mei3-shi4,nr
安樂村,2,an1-le4-cun1,nr
阿拜,5,a1-bai4,ns
愛民如子,13,ai4-min2-ru2-zi,l
阿巴嘎旗,2,a1-ba1-ga1-qi2,ns
安赫利,2,an1-he4-li4,nr
奧德修,27,ao4-de2-xiu1,nr
嶅,1348,ao2,zg
埃布埃,3,ai1-bu4-ai1,ns
阿季尼,16,a1-ji4-ni2,nr
安妍紅,3,an1-yan2-hong2,nr
埃特里,2,ai1-te4-li3,nrt
安寧區,2,an1-ning2-qu1,ns
阿家阿翁,3,a1-gu1-a1-weng1,nr
阿爾克,6,a1-er3-ke4,nrt
阿里斯頓,13,a1-li3-si1-dun4,nrt
愛奴,3,ai4-nu2,n
阿帕網,6,a1-pa4-wang3,nz
按摩器,2,an4-mo2-qi4,l
安西將軍,2,an1-xi1-jiang1-jun1,nr
阿喀琉斯,3,a1-ka1-liu2-si1,nr
阿姆裡,4,a1-mu3-li3,nr
氨苯碸,3,an1-ben3-feng1,nz
阿布魯,3,a1-bu4-lu3,nr
安國縣,6,an1-guo2-xian4,ns
騃,2,ai2,zg
奧薩蘇,15,ao4-sa4-su1,ns
安裝簡單,2,an1-zhuang1-jian3-dan1,nr
哀怨,86,ai1-yuan4,v
