chinese,frequency,pinyin,posseg
伻,3,beng1,zg
扳閘,3,ban1-zha2,n
本主兒,3,ben3-zhu3-er2,n
班超復,2,ban1-chao1-fu4,nr
胞質腔,3,bao1-zhi4-qiang1,n
巴爾古,2,ba1-er3-gu3,ns
不推遲,3,bu4-tui1-chi2,l
表字,69,biao3-zi4,n
別爾哥羅德,5,bie2-er3-ge1-luo2-de2,nrt
巴德拉,2,ba1-de2-la1,nr
碧流河,3,bi4-liu2-he2,ns
變顏變色,3,bian4-yan2-bian4-se4,l
甭管,74,beng2-guan3,c
不恥最後,3,bu4-chi3-zui4-hou4,v
避人耳目,10,bi4-ren2-er3-mu4,i
別克巴,2,bie2-ke4-ba1,nr
半導體器件,12,ban4-dao3-ti3-qi4-jian4,n
不知者,27,bu4-zhi1-zhe3,n
變下去,3,bian4-xia4-qu4,v
表面皿,3,biao3-mian4-min3,n
白濛濛,12,bai2-meng2-meng2,nr
白花油,3,bai2-hua1-you2,n
背地裡,139,bei4-di4-li3,n
布盧姆,5,bu4-lu2-mu3,nr
報錯,3,bao4-cuo4,v
勃然變色,3,bo2-ran2-bian4-se4,l
北京住總集團,3,bei3-jing1-zhu4-zong3-ji2-tuan2,nt
北京大學人民醫院,11,bei3-jing1-da4-xue2-ren2-min2-yi1-yuan4,nt
北臺,10,bei3-tai2,ns
不戰而退,3,bu4-zhan4-er2-tui4,l
八連,26,ba1-lian2,ns
八卦嶺,3,ba1-gua4-ling3,ns
暴禁非,2,bao4-jin4-fei1,nr
逼進,3,bi1-jin4,v
白屋,3,bai2-wu1,n
巴爾的摩,72,ba1-er3-de-mo2,ns
必罰,3,bi4-fa2,vn
不可開交,109,bu4-ke3-kai1-jiao1,i
不光會,3,bu4-guang1-hui4,n
不等價,7,bu4-deng3-jia4,n
不負眾託,3,bu4-fu4-zhong4-tuo1,n
奔赴,265,ben1-fu4,v
半支蓮,2,ban4-zhi1-lian2,nr
白池,2,bai2-chi2,n
表裡河山,3,biao3-li3-he2-shan1,n
扁豆花,3,bian3-dou4-hua1,n
冰川補給,3,bing1-chuan1-bu3-gei3,nr
編輯卡,3,bian1-ji2-ka3,n
變阻器,10,bian4-zu3-qi4,n
班列,13,ban1-lie4,n
波陽縣,5,bo1-yang2-xian4,ns
編織品,11,bian1-zhi1-pin3,n
變子,3,bian4-zi,n
保鮮膜,13,bao3-xian1-mo2,nz
閉上眼,3,bi4-shang4-yan3,l
變故,393,bian4-gu4,n
抱出,3,bao4-chu1,v
逼問,108,bi1-wen4,v
標槍,134,biao1-qiang1,n
冰床,16,bing1-chuang2,n
波茨,3,bo1-ci2,nrt
布萊辛,2,bu4-lai2-xin1,nr
本神,3,ben3-shen2,n
悲嘆,35,bei1-tan4,a
部落,2021,bu4-luo4,n
巴博薩,109,ba1-bo2-sa4,nr
兵出無名,3,bing1-chu1-wu2-ming2,i
變淡,3,bian4-dan4,v
八份,2,ba1-fen4,m
病狂,3,bing4-kuang2,a
不久前,591,bu4-jiu3-qian2,t
表揚大會,3,biao3-yang2-da4-hui4,n
並建,24,bing4-jian4,v
班師振旅,3,ban1-shi1-zhen4-lv3,nr
寶坻縣,10,bao3-chi2-xian4,ns
畢石湖,23,bi4-shi2-hu2,nr
比出,3,bi3-chu1,v
筆耕墨耘,3,bi3-geng1-mo4-yun2,n
不捕,3,bu4-bu3,v
報幕,7,bao4-mu4,n
筆鋒,40,bi3-feng1,n
不名一格,3,bu4-ming2-yi1-ge2,i
不掉,3,bu4-diao4,v
邊看邊說,3,bian1-kan4-bian1-shuo1,v
閉架管理,3,bi4-jia4-guan3-li3,l
必經途經,3,bi4-jing1-tu2-jing1,l
補間鋪作,3,bu3-jian1-pu4-zuo4,n
暴沸,3,bao4-fei4,v
編,63,bian1,zg
白熾,5,bai2-chi4,nr
佈道大會,3,bu4-dao4-da4-hui4,nr
八八六十四,8,ba1-ba1-liu4-shi2-si4,m
別來無羔,3,bie2-lai2-wu2-gao1,nr
巴魯克,3,ba1-lu3-ke4,nr
裨助,3,bi4-zhu4,n
保險總額,3,bao3-xian3-zong3-e2,n
百孔千瘡,5,bai3-kong3-qian1-chuang1,i
百色起義,9,bai3-se4-qi3-yi4,l
編制工作,4,bian1-zhi4-gong1-zuo4,n
巴普蒂斯,11,ba1-pu3-di4-si1,nrt
杯水,46,bei1-shui3,n
庇護權,5,bi4-hu4-quan2,n
