chinese,frequency,pinyin,posseg
持質,3,chi2-zhi4,n
村提留,3,cun1-ti2-liu2,nr
腸桿菌屬,3,chang2-gan3-jun1-shu3,n
出聖入神,3,chu1-sheng4-ru4-shen2,i
赤烏,13,chi4-wu1,ns
燦爛,948,can4-lan4,a
擦身而過,31,ca1-shen1-er2-guo4,l
昌吉回族自治州,13,chang1-ji2-hui2-zu2-zi4-zhi4-zhou1,ns
察覺,669,cha2-jue2,v
成祖北,3,cheng2-zu3-bei3,nr
財政部門,38,cai2-zheng4-bu4-men2,n
鶉居鷇飲,3,chun2-ju1-kou4-yin3,i
乘火車,3,cheng2-huo3-che1,n
澄江,19,cheng2-jiang1,ns
承教,3,cheng2-jiao4,v
創作組,6,chuang4-zuo4-zu3,n
臭氧層,117,chou4-yang3-ceng2,n
創導,6,chuang4-dao3,n
茶籽油,3,cha2-zi3-you2,n
脣焦舌敝,3,chun2-jiao1-she2-bi4,i
吹毛求疵,22,chui1-mao2-qiu2-ci1,i
蠶蛹油,3,can2-yong3-you2,z
撤出,400,che4-chu1,v
曹衝稱象,3,cao2-chong1-cheng1-xiang4,nr
雌二醇,20,ci2-er4-chun2,nz
車騎,108,che1-qi2,n
參差,235,can1-cha4,n
測量方法,3,ce4-liang4-fang1-fa3,nz
蒼鼠,3,cang1-shu3,n
超邁絕倫,3,chao1-mai4-jue2-lun2,l
參賽證,6,can1-sai4-zheng4,n
存小異,3,cun2-xiao3-yi4,n
財產險,3,cai2-chan3-xian3,n
刺柏,3,ci4-bai3,n
瓷粉,3,ci2-fen3,n
測溫儀,3,ce4-wen1-yi2,nz
炒起,3,chao3-qi3,v
摻進,3,can4-jin4,v
春山如笑,3,chun1-shan1-ru2-xiao4,l
出醜,87,chu1-chou3,v
超齡,31,chao1-ling2,b
醜,3,chou3,zg
草原法,2,cao3-yuan2-fa3,n
舡,16,chuan2,g
誠心正意,3,cheng2-xin1-zheng4-yi4,i
重床迭架,3,chong2-chuang2-die2-jia4,nz
承購,6,cheng2-gou4,v
豺狼,93,chai2-lang2,n
叢式井口,3,cong2-shi4-jing3-kou3,nr
車太賢,3,che1-tai4-xian2,nr
朝鮮人,278,chao2-xian1-ren2,nz
朝鮮外交部,3,chao2-xian1-wai4-jiao1-bu4,nt
城市規劃,3,cheng2-shi4-gui1-hua4,n
超然獨立,3,chao1-ran2-du2-li4,i
朝核問題,3,chao2-he2-wen4-ti2,n
償還,480,chang2-hai2,v
曹侍郎,2,cao2-shi4-lang2,nr
殘餘,480,can2-yu2,a
籌委會,169,chou2-wei3-hui4,n
闖勁,14,chuang3-jin4,v
吹起,3,chui1-qi3,v
催化,475,cui1-hua4,v
嗔,561,chen1,v
吃得起,3,chi1-de2-qi3,v
恥骨,31,chi3-gu3,n
程哥,2,cheng2-ge1,n
承太郎,3,cheng2-tai4-lang2,nr
從今天起,3,cong2-jin1-tian1-qi3,l
赤阪,2,chi4-ban3,ns
粗估,2,cu1-gu1,v
沉底,18,chen2-di3,v
曹魏代,3,cao2-wei4-dai4,nr
出門,1716,chu1-men2,v
抄有,3,chao1-you3,v
初心,3,chu1-xin1,n
春假裡,3,chun1-jia4-li3,t
藏書標記,3,cang2-shu1-biao1-ji4,n
赤城,22,chi4-cheng2,ns
初速度,3,chu1-su4-du4,n
純鐵,11,chun2-tie3,n
錯過,46,cuo4-guo4,v
從商,39,cong2-shang1,v
唱歌曲,3,chang4-ge1-qu3,l
扯空砑光,3,che3-kong1-ya4-guang1,z
殘暴,342,can2-bao4,a
菜子餅,3,cai4-zi-bing3,n
超等,3,chao1-deng3,b
陳加玲,3,chen2-jia1-ling2,nr
陳振孫,4,chen2-zhen4-sun1,nr
陳樹人,8,chen2-shu4-ren2,nr
吹號,12,chui1-hao4,n
湹,27,chan2,zg
常洗,3,chang2-xi3,b
產品質量法,14,chan3-pin3-zhi4-liang4-fa3,n
稠人廣坐,3,chou2-ren2-guang3-zuo4,i
存取時間,10,cun2-qu3-shi2-jian1,n
草芽,8,cao3-ya2,n
陳相公,6,chen2-xiang4-gong1,nr
躔,4,chan2,g
出口成章,51,chu1-kou3-cheng2-zhang1,i
崇禮縣,3,chong2-li3-xian4,n
存查,2,cun2-cha2,vn
垂尾,40,chui2-wei3,n
參與權,10,can1-yu3-quan2,n
擦傷,56,ca1-shang1,v
處理場,4,chu4-li3-chang3,n
闖禍,94,chuang3-huo4,v
弛高騖遠,3,chi2-gao1-wu4-yuan3,z
成長性,100,cheng2-zhang3-xing4,n
創建者,1117,chuang4-jian4-zhe3,n
岑嘉倫,2,cen2-jia1-lun2,nr
腸套疊,10,chang2-tao4-die2,n
出生創傷,3,chu1-sheng1-chuang4-shang1,l
存續,33,cun2-xu4,v
朝鮮人民武裝力量部,2,chao2-xian1-ren2-min2-wu3-zhuang1-li4-liang4-bu4,nt
衝撞,259,chong1-zhuang4,vn
琮,48,cong2,g
朝天宮,3,chao2-tian1-gong1,ns
陳各代,3,chen2-ge4-dai4,nr
參,2849,can1,n
奼紫嫣紅,3,cha4-zi3-yan1-hong2,nr
成熟酶,3,cheng2-shu2-mei2,n
稱德度功,3,cheng1-de2-du4-gong1,n
沉寂,285,chen2-ji4,a
城垛,46,cheng2-duo3,n
此案,233,ci3-an4,r
池裡,3,chi2-li3,s
船埠,3,chuan2-bu4,n
察可軍,2,cha2-ke3-jun1,i
測雲儀,3,ce4-yun2-yi2,nz
從遠安,2,cong2-yuan3-an1,nr
出版物,320,chu1-ban3-wu4,n
春衣,3,chun1-yi1,n
殘紅,3,can2-hong2,n
尺寸之功,3,chi3-cu4-zhi1-gong1,i
參考價,28,can1-kao3-jia4,n
村夫,28,cun1-fu1,n
曾建徽,2,ceng2-jian4-hui1,nr
村塾,5,cun1-shu2,n
陳平重,7,chen2-ping2-zhong4,nr
川井,2,chuan1-jing3,ns
纏繞管,3,chan2-rao4-guan3,nz
蔡廣銀,2,cai4-guang3-yin2,nr
村風,3,cun1-feng1,n
傳喚,98,chuan2-huan4,v
傳問,3,chuan2-wen4,v
乘起來,3,cheng2-qi3-lai2,l
稠化劑,3,chou2-hua4-ji4,n
城下之辱,3,cheng2-xia4-zhi1-ru3,l
粗磨穀粉,3,cu1-mo2-gu3-fen3,n
藏醫學,24,cang2-yi1-xue2,nz
遲浩田,130,chi2-hao4-tian2,nr
籌備,837,chou2-bei4,v
雌禽,3,ci2-qin2,n
瘡痍滿目,10,chuang1-yi2-man3-mu4,i
敞著,3,chang3-zhe,v
曹操傳,3,cao2-cao1-chuan2,nr
純一,43,chun2-yi1,b
車蓋,3,che1-gai4,n
層層加碼,3,ceng2-ceng2-jia1-ma3,n
承襲,300,cheng2-xi2,v
測高法,3,ce4-gao1-fa3,nz
秤砣,22,cheng4-tuo2,n
陳伯玉,2,chen2-bo2-yu4,nr
陳劭先,3,chen2-shao4-xian1,nr
充仿,3,chong1-fang3,v
參考答案,3,can1-kao3-da2-an4,n
床底,3,chuang2-di3,n
抽水機,35,chou1-shui3-ji1,n
從重,83,cong2-zhong4,v
搽,148,cha2,v
寸長片善,3,cun4-zhang3-pian4-shan4,i
差距,1759,cha1-ju4,n
捶鼓,3,chui2-gu3,v
從價稅,3,cong2-jia4-shui4,l
常態,188,chang2-tai4,n
朝墨遊蹤,3,chao2-mo4-you2-zong1,i
超塵出俗,3,chao1-chen2-chu1-su2,i
猝不及防,142,cu4-bu4-ji2-fang2,i
蠶食鯨吞,4,can2-shi2-jing1-tun1,i
垂釣者,2,chui2-diao4-zhe3,i
腸胃炎,4,chang2-wei4-yan2,n
採擇,3,cai3-ze2,v
陳院長,4,chen2-yuan4-zhang3,nr
慘無天日,3,can3-wu2-tian1-ri4,i
曹司朋,33,cao2-si1-peng2,nr
查鋪,2,cha2-pu4,v
燦然,40,can4-ran2,a
茶爐,8,cha2-lu2,n
銐,100,chi4,zg
慈恩所,2,ci2-en1-suo3,nr
蒼溪縣,2,cang1-xi1-xian4,ns
茶陵,26,cha2-ling2,n
齒鳥類,3,chi3-niao3-lei4,n
創業史,20,chuang4-ye4-shi3,n
措辭,183,cuo4-ci2,n
朝北邊,3,chao2-bei3-bian1,ns
誠篤,21,cheng2-du3,a
重返,390,chong2-fan3,v
創業園,261,chuang4-ye4-yuan2,n
草豆蔻,3,cao3-dou4-kou4,n
次數法,3,ci4-shu4-fa3,n
塵凡,3,chen2-fan2,v
崇慶縣,3,chong2-qing4-xian4,ns
吃來吃去,3,chi1-lai2-chi1-qu4,l
乘虛而入,73,cheng2-xu1-er2-ru4,i
常綠灌,3,chang2-lv4-guan4,nr
撐過,3,cheng1-guo4,v
從頭再來,3,cong2-tou2-zai4-lai2,l
磁盤鏡像,3,ci2-pan2-jing4-xiang4,n
陳傳康,2,chen2-chuan2-kang1,nr
愁霧,3,chou2-wu4,n
窗簾杆,3,chuang1-lian2-gan1,n
成不了,68,cheng2-bu4-liao3,l
磁軸,11,ci2-zhou2,n
持卡,14,chi2-ka3,n
慘不忍聞,6,can3-bu4-ren3-wen2,i
朝遷市變,3,chao2-qian1-shi4-bian4,n
純音樂,3,chun2-yin1-le4,n
重新聚合,3,chong2-xin1-ju4-he2,nz
朝經暮史,3,chao2-jing1-mu4-shi3,n
