chinese,frequency,pinyin,posseg
垛,256,duo3,v
東差西誤,3,dong1-cha4-xi1-wu4,n
杜雨露,3,du4-yu3-lu4,nr
第四十九屆,2,di4-si4-shi2-jiu3-jie4,m
電器店,3,dian4-qi4-dian4,n
多抹,4,duo1-mo3,m
打冷嗝,3,da3-leng3-ge2,v
電磁線,3,dian4-ci2-xian4,n
倒槽式拱,3,dao4-cao2-shi4-gong3,n
多伊奇,3,duo1-yi1-qi2,nrt
迪維希語,4,di2-wei2-xi1-yu3,nz
丁寶忠,3,ding1-bao3-zhong1,nr
單選題,3,dan1-xuan3-ti2,n
冬裝,18,dong1-zhuang1,n
導平面,3,dao3-ping2-mian4,n
堆芯,17,dui1-xin1,n
杜亞泉,14,du4-ya4-quan2,nr
電子貨幣,4,dian4-zi-huo4-bi4,n
斗轉參橫,3,dou4-zhuan3-can1-heng2,i
等而下之,6,deng3-er2-xia4-zhi1,i
低聚糖,3,di1-ju4-tang2,n
丁老四,4,ding1-lao3-si4,nr
黨外人士,43,dang3-wai4-ren2-shi4,n
打擺子,19,da3-bai3-zi,l
等量,139,deng3-liang4,n
鄧寅達,2,deng4-yin2-da2,nr
抖底,3,dou3-di3,v
電阻表,3,dian4-zu3-biao3,n
代言人,217,dai4-yan2-ren2,n
第一幅,28,di4-yi1-fu2,m
單胞菌,23,dan1-bao1-jun1,n
墊回,3,dian4-hui2,v
動力區,3,dong4-li4-qu1,n
兜風,20,dou1-feng1,n
東建,4,dong1-jian4,ns
東方夜譚,3,dong1-fang1-ye4-tan2,i
刁老鏢,2,diao1-lao3-biao1,nr
導航條,3,dao3-hang2-tiao2,n
督軍,177,du1-jun1,n
疊嶂,22,die2-zhang4,n
殫精畢力,3,dan1-jing1-bi4-li4,i
蝶兒,2,die2-er2,n
但彥章,3,dan4-yan4-zhang1,nr
東安,175,dong1-an1,ns
但慧梅,4,dan4-hui4-mei2,nr
多能多藝,3,duo1-neng2-duo1-yi4,l
稻薊馬,3,dao4-ji4-ma3,n
大雅,54,da4-ya3,ns
鬥爭,9529,dou4-zheng1,vn
點化,45,dian3-hua4,v
訂購價,3,ding4-gou4-jia4,n
東方玉,3,dong1-fang1-yu4,nr
獨裁政治,3,du2-cai2-zheng4-zhi4,n
第四十六章,13,di4-si4-shi2-liu4-zhang1,m
單於入朝,2,dan1-yu2-ru4-chao2,nr
彈鋼琴,3,dan4-gang1-qin2,n
咄嗟叱吒,3,duo1-jie1-chi4-zha1,v
德本財末,3,de2-ben3-cai2-mo4,nr
淡鹽水,3,dan4-yan2-shui3,n
東公啟,2,dong1-gong1-qi3,nr
多醚菌素,3,duo1-mi2-jun1-su4,nz
調味粉,4,diao4-wei4-fen3,v
地鬥韻,3,de-dou4-yun4,n
戴碧蓉,16,dai4-bi4-rong2,nr
膽壯氣粗,3,dan3-zhuang4-qi4-cu1,i
蹈襲前人,3,dao3-xi2-qian2-ren2,v
達克,33,da2-ke4,nrt
鄧小平,4055,deng4-xiao3-ping2,nr
大拜拜,3,da4-bai4-bai4,ns
東沙群島,3,dong1-sha1-qun2-dao3,ns
帶菌者,12,dai4-jun1-zhe3,n
電腦網,3,dian4-nao3-wang3,n
代替,2262,dai4-ti4,v
代省長,3,dai4-sheng3-zhang3,n
代數集,3,dai4-shu4-ji2,n
但海子,2,dan4-hai3-zi,nr
得梅因,3,de2-mei2-yin1,i
敵火,3,di2-huo3,n
毒蛇猛獸,7,du2-she2-meng3-shou4,i
當歸鴨,3,dang1-gui1-ya1,n
地拉,114,de-la1,nrt
倒裝法,3,dao4-zhuang1-fa3,l
大吃大喝,67,da4-chi1-da4-he1,l
單放機,2,dan1-fang4-ji1,n
大江健,3,da4-jiang1-jian4,nr
多年凍土,3,duo1-nian2-dong4-tu3,n
對抗賽,72,dui4-kang4-sai4,n
訂盟,3,ding4-meng2,n
道在屎溺,3,dao4-zai4-shi3-ni4,n
多千克,22,duo1-qian1-ke4,m
第次,3,di4-ci4,m
地貌過程,3,di4-mao4-guo4-cheng2,n
段譽籲,2,duan4-yu4-yu4,nr
德芒戎,2,de2-mang2-rong2,nr
地守護,3,de-shou3-hu4,nr
打街罵巷,3,da3-jie1-ma4-xiang4,i
獨門功夫,3,du2-men2-gong1-fu1,i
動亂,455,dong4-luan4,n
帝行禮,2,di4-xing2-li3,nr
陡坡,114,dou3-po1,ns
單于庭,8,dan1-yu2-ting2,nr
電子陶瓷,3,dian4-zi-tao2-ci2,l
訂房間,3,ding4-fang2-jian1,n
道友,11,dao4-you3,n
顛倒眾生,3,dian1-dao4-zhong4-sheng1,i
達仁堂,3,da2-ren2-tang2,nr
點兒,745,dian3-er2,n
單擊右鍵,3,dan1-ji1-you4-jian4,n
彈到,3,dan4-dao4,v
當用,3,dang1-yong4,v
大鴻米店,3,da4-hong2-mi3-dian4,nz
典試委員,3,dian3-shi4-wei3-yuan2,n
斷裂力學,3,duan4-lie4-li4-xue2,n
獨奏會,3,du2-zou4-hui4,n
帶領,1893,dai4-ling3,v
褡扣,3,da1-kou4,n
多倍,71,duo1-bei4,m
第二筆,2,di4-er4-bi3,m
電視電話會議,10,dian4-shi4-dian4-hua4-hui4-yi4,n
董亞巍,2,dong3-ya4-wei1,nr
德薛禪,2,de2-xue1-chan2,nr
單飛,29,dan1-fei1,nr
大江,578,da4-jiang1,ns
大腿,276,da4-tui3,n
狄雲疾,2,di2-yun2-ji2,nr
第五十一篇,2,di4-wu3-shi2-yi1-pian1,m
地光,17,di4-guang1,n
大史記,3,da4-shi3-ji4,n
待續,78,dai4-xu4,v
杜化中,4,du4-hua4-zhong1,nr
杜爾伯特,33,du4-er3-bo2-te4,nrt
打油詩,27,da3-you2-shi1,n
東部,5551,dong1-bu4,f
大華網,3,da4-hua2-wang3,nz
短撅撅,3,duan3-jue1-jue1,z
德意志聯,3,de2-yi4-zhi4-lian2,ns
第一一七回,2,di4-yi1-yi1-qi1-hui2,m
電廣傳媒,2,dian4-guang3-chuan2-mei2,l
刀鋒冷,3,dao1-feng1-leng3,i
東零西碎,3,dong1-ling2-xi1-sui4,i
惦掛,3,dian4-gua4,v
東踅西倒,3,dong1-xue2-xi1-dao4,v
搗藥,10,dao3-yao4,v
短訊息,3,duan3-xun4-xi1,n
待傳,3,dai4-chuan2,v
低溼,3,di1-shi1,a
電解提取,3,dian4-jie3-ti2-qu3,l
得勁,4,de2-jin4,a
代數數域,3,dai4-shu4-shu4-yu4,n
淡而無味,3,dan4-er2-wu2-wei4,i
動眼神經,3,dong4-yan3-shen2-jing1,l
地級,47,de-ji2,n
德拜,32,de2-bai4,ns
蹈海,6,dao3-hai3,v
地溫表,3,de-wen1-biao3,n
地理圈,3,di4-li3-quan1,n
