chinese,frequency,pinyin,posseg
恩格爾曼,3,en1-ge2-er3-man4,nrt
恩有重報,3,en1-you3-zhong4-bao4,n
二五一十,3,er4-wu3-yi1-shi2,m
二三十米,6,er4-san1-shi2-mi3,m
二十一項,2,er4-shi2-yi1-xiang4,m
軶,10,e4,zg
額濟納,23,e2-ji4-na4,nr
二萬餘箱,2,er4-wan4-yu2-xiang1,m
二氧化鈦,16,er4-yang3-hua4-tai4,nz
鵝肌肽,3,e2-ji1-tai4,n
兒童畫,3,er2-tong2-hua4,n
二部,57,er4-bu4,m
耳根,82,er3-gen1,n
餌料,132,er3-liao4,n
扼止,3,e4-zhi3,v
二堂姊,3,er4-tang2-zi3,nr
二段式,2,er4-duan4-shi4,n
隭,4,er2,zg
恩克魯瑪,3,en1-ke4-lu3-ma3,nrt
惡罵,3,e4-ma4,v
二桿子,26,er4-gan3-zi,n
二十份,2,er4-shi2-fen4,m
鄂倫春人,6,e4-lun2-chun1-ren2,nr
恩德,188,en1-de2,nrt
二十五萬五千兩,4,er4-shi2-wu3-wan4-wu3-qian1-liang3,m
二百七十歲,3,er4-bai3-qi1-shi2-sui4,m
二百四十名,4,er4-bai3-si4-shi2-ming2,m
二季度,3,er4-ji4-du4,mq
鄂登楚,2,e4-deng1-chu3,nr
二三十根,3,er4-san1-shi2-gen1,m
惡行,183,e4-xing2,v
額定,99,e2-ding4,b
二十文,5,er4-shi2-wen2,m
二百零四個,3,er4-bai3-ling2-si4-ge4,m
而非,3,er2-fei1,c
二千兩,68,er4-qian1-liang3,m
鵝絨,4,e2-rong2,n
二個,186,er4-ge4,m
二二得四,3,er4-er4-de2-si4,i
二十億元,2,er4-shi2-yi4-yuan2,m
惡言惡語,3,e4-yan2-e4-yu3,i
兒童性,4,er2-tong2-xing4,n
鄂博,30,e4-bo2,nr
鴯鶓,20,er2-miao2,n
二樓住戶,3,er4-lou2-zhu4-hu4,n
兒少,7,er2-shao3,n
恩義,54,en1-yi4,n
二肽酶,3,er4-tai4-mei2,n
耳蝸,40,er3-wo1,n
耳尖,3,er3-jian1,n
鱷魚恤,3,e4-yu2-xu4,n
齶杆,3,e4-gan1,n
二十招,4,er4-shi2-zhao1,m
二十六座,2,er4-shi2-liu4-zuo4,m
二龍戲珠,133,er4-long2-xi4-zhu1,nz
而後,651,er2-hou4,c
額外負擔,3,e2-wai4-fu4-dan1,n
二百餘萬,3,er4-bai3-yu2-wan4,m
恩重如山,45,en1-zhong4-ru2-shan1,i
餓,1943,e4,v
二代,93,er4-dai4,t
恩賜者,3,en1-ci4-zhe3,nr
二億四百九十七萬餘兩,2,er4-yi4-si4-bai3-jiu3-shi2-qi1-wan4-yu2-liang3,m
二三公里,4,er4-san1-gong1-li3,m
惡衣蔬食,3,e4-yi1-shu1-shi2,i
蛾眉,65,e2-mei2,n
二百八十萬兩,6,er4-bai3-ba1-shi2-wan4-liang3,m
俄黑海艦隊,9,e2-hei1-hai3-jian4-dui4,nt
二十響,28,er4-shi2-xiang3,m
珥,15,er3,zg
二十四門,6,er4-shi2-si4-men2,m
二輕,12,er4-qing1,nz
二十一局,2,er4-shi2-yi1-ju2,m
兒子,9364,er2-zi,n
鵝嶺,2,e2-ling3,ns
二三百步,2,er4-san1-bai3-bu4,m
俄文系,3,e2-wen2-xi4,nt
二百六十五塊,2,er4-bai3-liu4-shi2-wu3-kuai4,m
二目,16,er4-mu4,n
二線,95,er4-xian4,m
二零零八年,5,er4-ling2-ling2-ba1-nian2,m
惡性,463,e4-xing4,n
耳朵眼,6,er3-duo3-yan3,n
恩將仇報,50,en1-jiang1-chou2-bao4,i
二難,18,er4-nan2,n
鵝口瘡,6,e2-kou3-chuang1,n
二傳,14,er4-chuan2,b
惡漢,3,e4-han4,n
兒童,5456,er2-tong2,n
二進位,5,er4-jin4-wei4,n
二筒,3,er4-tong3,n
二十多篇,2,er4-shi2-duo1-pian1,m
惡風,3,e4-feng1,n
二下,11,er4-xia4,m
二手票,3,er4-shou3-piao4,n
兒女心腸,3,er2-nv3-xin1-chang2,n
額吉諾,4,e2-ji2-nuo4,nr
兒童讀物,3,er2-tong2-du2-wu4,n
鄂倫春,33,e4-lun2-chun1,nr
餓殍枕藉,3,e4-piao3-zhen3-jie4,i
兒孫,130,er2-sun1,n
二百餘招,6,er4-bai3-yu2-zhao1,m
二百一十毫米,4,er4-bai3-yi1-shi2-hao2-mi3,m
爾夫人,4,er3-fu1-ren2,nrt
耳薰目染,3,er3-xun1-mu4-ran3,l
閼,41,e4,x
鄂托克旗,14,e4-tuo1-ke4-qi2,nr
二分音符,3,er4-fen1-yin1-fu2,n
二里,104,er4-li3,nrt
俄羅斯博物館,5,e2-luo2-si1-bo2-wu4-guan3,ns
二小,31,er4-xiao3,b
二十枚,7,er4-shi2-mei2,m
二泉映月,12,er4-quan2-ying4-yue4,n
二億兩,6,er4-yi4-liang3,m
二板股票,3,er4-ban3-gu3-piao4,n
惡,6,e4,zg
二三尺,14,er4-san1-chi3,m
二十華裡,3,er4-shi2-hua2-li3,m
兒郎,14,er2-lang2,n
兒茶酚,3,er2-cha2-fen1,n
俄羅斯娃,3,e2-luo2-si1-wa2,nz
耳刀,3,er3-dao1,n
額濟納旗,26,e2-ji4-na4-qi2,nr
扼坑拊背,3,e4-keng1-fu3-bei4,v
二戰,576,er4-zhan4,nz
二十六七,3,er4-shi2-liu4-qi1,m
二鍋頭,24,er4-guo1-tou2,n
二十五萬兩,2,er4-shi2-wu3-wan4-liang3,m
二十幾分鍾,2,er4-shi2-ji3-fen1-zhong1,m
二十多隻,2,er4-shi2-duo1-zhi1,m
爾爾,3,er3-er3,nr
耳旁風,26,er3-pang2-feng1,i
峩,3,e2,zg
惡性膨脹,3,e4-xing4-peng2-zhang4,l
二十三兩三,2,er4-shi2-san1-liang3-san1,m
二部制,3,er4-bu4-zhi4,n
阿其所好,3,e1-qi2-suo3-hao4,i
二三百萬年,4,er4-san1-bai3-wan4-nian2,m
二十餘歲,12,er4-shi2-yu2-sui4,m
惡煞,4,e4-sha1,v
二兩米,2,er4-liang3-mi3,m
二十多塊,3,er4-shi2-duo1-kuai4,m
耳鼻咽,3,er3-bi2-yan4,i
耳聽為虛,7,er3-ting1-wei4-xu1,i
二十五倍,3,er4-shi2-wu3-bei4,m
苊,33,e4,g
二百三十八,2,er4-bai3-san1-shi2-ba1,m
屙金溺銀,3,e1-jin1-ni4-yin2,vn
鰐,9,e4,zg
二六,16,er4-liu4,m
二黨制,3,er4-dang3-zhi4,n
恩同山嶽,3,en1-tong2-shan1-yue4,nr
二十有餘,2,er4-shi2-you3-yu2,m
二百零七篇,2,er4-bai3-ling2-qi1-pian1,m
爾罕,2,er3-han3,nrt
二十多一點,2,er4-shi2-duo1-yi1-dian3,m
二心,32,er4-xin1,n
二三十號,2,er4-san1-shi2-hao4,m
二十餘招,41,er4-shi2-yu2-zhao1,m
兒童服裝,3,er2-tong2-fu2-zhuang1,l
二等,193,er4-deng3,b
二子二女,3,er4-zi-er4-nv3,l
二天晒網,3,er4-tian1-shai4-wang3,nz
二十一萬,3,er4-shi2-yi1-wan4,m
二十四塊,3,er4-shi2-si4-kuai4,m
而立,601,er2-li4,v
惡跡,3,e4-ji1,n
二十萬元,9,er4-shi2-wan4-yuan2,m
阿世媚俗,3,e1-shi4-mei4-su2,nr
二百文,7,er4-bai3-wen2,m
二副,12,er4-fu4,m
耳風,3,er3-feng1,n
鵝冠草,2,e2-guan1-cao3,nz
二炮,181,er4-pao4,n
耳朵眼兒,2,er3-duo3-yan3-er2,l
二重根,3,er4-chong2-gen1,nz
二十九名,8,er4-shi2-jiu3-ming2,m
恩甚怨生,3,en1-shen4-yuan4-sheng1,i
二十一個,10,er4-shi2-yi1-ge4,m
二疊,54,er4-die2,m
