chinese,frequency,pinyin,posseg
分甘絕少,3,fen1-gan1-jue2-shao3,l
發火器,3,fa1-huo3-qi4,l
福公子,21,fu2-gong1-zi,nr
馮保先,2,feng2-bao3-xian1,nr
廢水槽,3,fei4-shui3-cao2,n
法國國民議會,13,fa3-guo2-guo2-min2-yi4-hui4,nt
浮泛,14,fu2-fan4,a
誹,93,fei3,v
風門,9,feng1-men2,n
販毒,175,fan4-du2,v
風骨,57,feng1-gu3,n
敷衍,282,fu1-yan3,v
方術,92,fang1-shu4,n
分秒必爭,23,fen1-miao3-bi4-zheng1,i
發舊,3,fa1-jiu4,v
蜚誹,3,fei1-fei3,v
敷著,3,fu1-zhe,v
豐臺站,3,feng1-tai2-zhan4,nz
福臨召,2,fu2-lin2-zhao4,nr
反托拉斯法,18,fan3-tuo1-la1-si1-fa3,nz
芳樟醇,2,fang1-zhang1-chun2,nz
浮皮潦草,3,fu2-pi2-liao2-cao3,l
佛羅里達海峽,19,fu2-luo2-li3-da2-hai3-xia2,ns
封口費,3,feng1-kou3-fei4,n
方老爹,3,fang1-lao3-die1,nr
馮紫英,58,feng2-zi3-ying1,nr
范公堤,8,fan4-gong1-di1,nr
販毒案,3,fan4-du2-an4,n
放置,446,fang4-zhi4,v
伏案疾書,3,fu2-an4-ji2-shu1,n
非抹不可,3,fei1-mo3-bu4-ke3,i
撫綏萬方,3,fu3-sui1-wan4-fang1,ns
風塵骯髒,3,feng1-chen2-ang1-zang1,nr
分佈式計算,8,fen1-bu4-shi4-ji4-suan4,n
範祖禹,20,fan4-zu3-yu3,nr
飛進來,2,fei1-jin4-lai2,v
福報,145,fu2-bao4,nz
負電子,3,fu4-dian4-zi,n
附加語,3,fu4-jia1-yu3,n
非特異,3,fei1-te4-yi4,l
法號,33,fa3-hao4,n
泛素,3,fan4-su4,n
福清,33,fu2-qing1,nr
費盧扎,3,fei4-lu2-zha1,nr
訪問不能,3,fang3-wen4-bu4-neng2,i
防火設計,3,fang2-huo3-she4-ji4,i
