chinese,frequency,pinyin,posseg
古喀斯,3,gu3-ka1-si1,nr
攻過,3,gong1-guo4,v
告謝,3,gao4-xie4,v
貢獻力量,3,gong4-xian4-li4-liang4,n
高絲美,3,gao1-si1-mei3,nr
改日再來,3,gai3-ri4-zai4-lai2,i
竿,281,gan1,ng
趕下臺,13,gan3-xia4-tai2,v
革命理想,3,ge2-ming4-li3-xiang3,n
觀光車,3,guan1-guang1-che1,n
港界,3,gang3-jie4,n
郭靖摸,4,guo1-jing4-mo1,nr
廣元市,22,guang3-yuan2-shi4,ns
供招,3,gong1-zhao1,n
攻疾防患,3,gong1-ji2-fang2-huan4,n
滾走,3,gun3-zou3,v
固陋,3,gu4-lou4,a
高速線,3,gao1-su4-xian4,n
郭祥學,2,guo1-xiang2-xue2,nr
共榮圈,23,gong4-rong2-quan1,n
感病性,3,gan3-bing4-xing4,n
蓋章處,3,gai4-zhang1-chu4,nr
該筆,7,gai1-bi3,r
給水團,4,gei3-shui3-tuan2,n
供水幹管,3,gong1-shui3-gan4-guan3,n
郭靖拍,2,guo1-jing4-pai1,nr
公屋,4,gong1-wu1,n
歸回,3,gui1-hui2,v
呱嗒,3,gua1-da1,o
郭靖堪,2,guo1-jing4-kan1,nr
槓房,3,gang4-fang2,n
官治政,2,guan1-zhi4-zheng4,n
共擺,3,gong4-bai3,v
擱板,16,ge1-ban3,nz
躬先士卒,3,gong1-xian1-shi4-zu2,i
古里古怪,45,gu3-li3-gu3-guai4,nz
感應性,3,gan3-ying1-xing4,n
感光材料,7,gan3-guang1-cai2-liao4,n
媯,237,gui1,g
公卿奏,5,gong1-qing1-zou4,nr
掛長,3,gua4-zhang3,v
轂交蹄劘,3,gu3-jiao1-ti2-mo2,n
共有,736,gong4-you3,v
剛背,3,gang1-bei4,n
古生物學家,32,gu3-sheng1-wu4-xue2-jia1,n
國相邦,2,guo2-xiang1-bang1,nr
蓋,4175,gai4,v
廣佈政,263,guang3-bu4-zheng4,nr
各服,3,ge4-fu2,a
瓜市,3,gua1-shi4,ns
估價人,3,gu1-jia4-ren2,n
國宴,27,guo2-yan4,n
工人工資,3,gong1-ren2-gong1-zi1,n
僱人,3,gu4-ren2,n
夠急,3,gou4-ji2,a
幹霄蔽日,3,gan4-xiao1-bi4-ri4,i
歌行,37,ge1-xing2,n
隔居,3,ge2-ju1,v
幹部群眾,3,gan4-bu4-qun2-zhong4,n
公寸,3,gong1-cun4,n
格洛夫,3,ge2-luo4-fu1,nr
軌道控制,10,gui3-dao4-kong4-zhi4,n
觀賞鴿,2,guan1-shang3-ge1,n
鍋垢,3,guo1-gou4,n
國慶日,140,guo2-qing4-ri4,t
慣跑,3,guan4-pao3,v
規定值,9,gui1-ding4-zhi2,n
郭府中,2,guo1-fu3-zhong1,nr
高官尊爵,3,gao1-guan1-zun1-jue2,nr
鬼哭神愁,3,gui3-ku1-shen2-chou2,i
顧廣圻,2,gu4-guang3-qi2,nr
共鳴器,5,gong4-ming2-qi4,n
貫眼完井,3,guan4-yan3-wan2-jing3,i
高甲戲,4,gao1-jia3-xi4,n
觀看節目,3,guan1-kan4-jie2-mu4,l
公共數據,4,gong1-gong4-shu4-ju4,n
鬼哭狼嚎,35,gui3-ku1-lang2-hao2,i
改要,3,gai3-yao4,v
甘草片,3,gan1-cao3-pian4,n
光乎乎,3,guang1-hu1-hu1,z
革命烈火,3,ge2-ming4-lie4-huo3,i
弓阿帕,13,gong1-a1-pa4,nr
高彈力,3,gao1-dan4-li4,n
高碑店,10,gao1-bei1-dian4,ns
功虧一簣,62,gong1-kui1-yi1-kui4,i
股災,3,gu3-zai1,n
鼓腦爭頭,3,gu3-nao3-zheng1-tou2,n
葛攀藤,3,ge2-pan1-teng2,nr
國務院新聞辦,19,guo2-wu4-yuan4-xin1-wen2-ban4,nt
茛,5,gen4,x
梗概,41,geng3-gai4,n
國度,129,guo2-du4,n
肝膽俱裂,3,gan1-dan3-ju4-lie4,i
廣合順,3,guang3-he2-shun4,nz
廣平縣,2,guang3-ping2-xian4,ns
詭局,3,gui3-ju2,n
公寓式,6,gong1-yu4-shi4,n
鼓曲,5,gu3-qu1,v
觀測網,16,guan1-ce4-wang3,n
估價鑑定,3,gu1-jia4-jian4-ding4,n
國語課,3,guo2-yu3-ke4,n
夠響,3,gou4-xiang3,v
廣東教育出版社,6,guang3-dong1-jiao4-yu4-chu1-ban3-she4,nt
管英代,2,guan3-ying1-dai4,nr
鬼王,3,gui3-wang2,n
國防部門,6,guo2-fang2-bu4-men2,n
古山,266,gu3-shan1,ns
郭姑娘放,2,guo1-gu1-niang2-fang4,nr
高雪氏,2,gao1-xue3-shi4,nr
