chinese,frequency,pinyin,posseg
黃炳炎,2,huang2-bing3-yan2,nr
紅情,23,hong2-qing2,n
好玩兒,26,hao3-wan2-er2,v
活讀,3,huo2-du2,v
霍振祥,5,huo4-zhen4-xiang2,nr
狐裘羔袖,3,hu2-qiu2-gao1-xiu4,v
混音,3,hun4-yin1,n
荒水,3,huang1-shui3,n
化學法,7,hua4-xue2-fa3,n
河圖洛,5,he2-tu2-luo4,ns
糊料,5,hu2-liao4,n
赫萊布,5,he4-lai2-bu4,nr
晃來晃去,3,huang3-lai2-huang3-qu4,z
合成塔,3,he2-cheng2-ta3,n
黃道榮,3,huang2-dao4-rong2,nr
橫說豎說,3,heng2-shuo1-shu4-shuo1,i
虎式機,3,hu3-shi4-ji1,n
還跟在,3,hai2-gen1-zai4,v
憨乎乎,3,han1-hu1-hu1,z
黃豆,322,huang2-dou4,n
衡志誠,2,heng2-zhi4-cheng2,nr
黃瓦朱,257,huang2-wa3-zhu1,nr
海誓,3,hai3-shi4,n
黃蓉扶,5,huang2-rong2-fu2,nr
黑馬河,2,hei1-ma3-he2,ns
貨款貼息,3,huo4-kuan3-tie1-xi1,n
河水,917,he2-shui3,ns
何首烏,26,he2-shou3-wu1,nr
海塞,2,hai3-sai1,n
何文秀,3,he2-wen2-xiu4,nr
胡慶士,3,hu2-qing4-shi4,nr
荷里活,3,he2-li3-huo2,nrt
黃金書屋,3,huang2-jin1-shu1-wu1,n
活似,3,huo2-si4,v
何忍言,2,he2-ren3-yan2,nr
喊話,88,han3-hua4,v
花泥畫,3,hua1-ni2-hua4,n
漢人,1629,han4-ren2,n
合住,23,he2-zhu4,v
華納公司,2,hua2-na4-gong1-si1,nt
含珠,2,han2-zhu1,n
火烈,3,huo3-lie4,a
化隆西,2,hua4-long2-xi1,nr
哼哼哈哈,15,heng1-heng1-ha1-ha1,z
互得,3,hu4-de2,v
河海清宴,3,he2-hai3-qing1-yan4,ns
海耶克,3,hai3-ye2-ke4,nr
黑胖,3,hei1-pang4,z
虎頭蜂,3,hu3-tou2-feng1,n
恆流源,3,heng2-liu2-yuan2,n
海陽市,3,hai3-yang2-shi4,ns
花仙子,3,hua1-xian1-zi,nr
貨值,5,huo4-zhi2,n
活性中心,3,huo2-xing4-zhong1-xin1,l
黃蓉初,3,huang2-rong2-chu1,nr
霍在夢,2,huo4-zai4-meng4,nr
火情,7,huo3-qing2,n
劃過,98,hua4-guo4,v
互幫互利,3,hu4-bang1-hu4-li4,l
海錨,3,hai3-mao2,n
獲致,3,huo4-zhi4,v
合理合法,11,he2-li3-he2-fa3,n
好長時間,3,hao3-zhang3-shi2-jian1,n
環球,504,huan2-qiu2,n
緩步,319,huan3-bu4,d
蝴蝶瓦,3,hu2-die2-wa3,ns
霍爾姆,6,huo4-er3-mu3,nr
胡梯邊,2,hu2-ti1-bian1,nr
霍霍生,2,huo4-huo4-sheng1,nr
鶴慶,8,he4-qing4,ns
胡斐擊,3,hu2-fei3-ji1,nr
郝劭文,3,hao3-shao4-wen2,nr
恆定電流,3,heng2-ding4-dian4-liu2,n
痕跡理論,3,hen2-ji1-li3-lun4,n
化學分析,47,hua4-xue2-fen1-xi1,l
漢桓帝,6,han4-huan2-di4,nr
黃爵滋,5,huang2-jue2-zi1,nr
恆溼器,3,heng2-shi1-qi4,nz
海之淵,2,hai3-zhi1-yuan1,nr
汗液,52,han4-ye4,n
夯,254,hang1,zg
何示,2,he2-shi4,v
海蘭氏,3,hai3-lan2-shi4,nr
禍患無窮,3,huo4-huan4-wu2-qiong2,i
