chinese,frequency,pinyin,posseg
機械公敵,3,ji1-xie4-gong1-di2,n
結喉,3,jie2-hou2,n
記成,3,ji4-cheng2,v
交通指揮,3,jiao1-tong1-zhi3-hui1,n
檢玻器,3,jian3-bo1-qi4,n
晉惠公,6,jin4-hui4-gong1,nr
精益,6,jing1-yi4,n
舊聞,283,jiu4-wen2,n
詰責,7,jie2-ze2,v
江南鎮,2,jiang1-nan2-zhen4,ns
舉國上下,47,ju3-guo2-shang4-xia4,l
交易師,3,jiao1-yi4-shi1,n
井牧其,3,jing3-mu4-qi2,nr
姜馮營村,3,jiang1-feng2-ying2-cun1,nr
九眼,4,jiu3-yan3,m
奸賊,334,jian1-zei2,n
救火投薪,3,jiu4-huo3-tou2-xin1,i
橘紅色,39,ju2-hong2-se4,n
緊急情報,3,jin3-ji2-qing2-bao4,i
錦帳,3,jin3-zhang4,n
金音,2,jin1-yin1,n
接著就是,3,jie1-zhe-jiu4-shi4,l
絕頂,370,jue2-ding3,m
九三個,2,jiu3-san1-ge4,m
鹼業,2,jian3-ye4,n
決策制定,4,jue2-ce4-zhi4-ding4,n
金屬鈣,11,jin1-shu3-gai4,nz
講下去,3,jiang3-xia4-qu4,v
借記卡,44,jie4-ji4-ka3,n
解說法,3,jie3-shuo1-fa3,v
繳出去,3,jiao3-chu1-qu4,v
級會,3,ji2-hui4,n
聚居地,70,ju4-ju1-de,n
加工件,3,jia1-gong1-jian4,n
居幫主,2,ju1-bang1-zhu3,n
監試,3,jian1-shi4,vn
極個別,3,ji2-ge4-bie2,d
救生帶,3,jiu4-sheng1-dai4,n
幾十千瓦,2,ji3-shi2-qian1-wa3,m
近幾年,3,jin4-ji3-nian2,l
久拖,3,jiu3-tuo1,l
軍心,347,jun1-xin1,n
救國軍,16,jiu4-guo2-jun1,nt
激射,4,ji1-she4,v
嘉年華會,6,jia1-nian2-hua2-hui4,nt
賤買,3,jian4-mai3,v
絕不比,3,jue2-bu4-bi3,v
檢疫,210,jian3-yi4,vn
家庭教育,139,jia1-ting2-jiao4-yu4,l
