chinese,frequency,pinyin,posseg
開年以來,3,kai1-nian2-yi3-lai2,l
空難事件,3,kong1-nan2-shi4-jian4,n
狂傲,34,kuang2-ao4,a
康恩貝,5,kang1-en1-bei4,nr
開封府,188,kai1-feng1-fu3,ns
開魯,3,kai1-lu3,nz
開洋葷,3,kai1-yang2-hun1,n
叩馬而諫,3,kou4-ma3-er2-jian4,v
抗纖溶酶,3,kang4-xian1-rong2-mei2,l
勘探隊,7,kan1-tan4-dui4,n
跨跳,3,kua4-tiao4,v
哭腔,52,ku1-qiang1,n
虧了,159,kui1-le,v
卡杜米,10,ka3-du4-mi3,nrt
墾殖指數,3,ken3-zhi2-zhi3-shu4,n
開發部,21,kai1-fa1-bu4,nt
倥傯,21,kong1-zong3,a
誇強道會,3,kua1-qiang2-dao4-hui4,i
空置率,10,kong1-zhi4-lv4,n
巋然獨存,3,kui1-ran2-du2-cun2,i
礦用,7,kuang4-yong4,n
抗蟲性,2,kang4-chong2-xing4,n
卡列,9,ka3-lie4,q
開發工具,34,kai1-fa1-gong1-ju4,l
客站,6,ke4-zhan4,n
科學研究部,2,ke1-xue2-yan2-jiu1-bu4,nt
卡波濟,3,ka3-bo1-ji4,nr
開門七件,3,kai1-men2-qi1-jian4,nz
蛞,55,kuo4,x
烤漆房,3,kao3-qi1-fang2,n
苦思對策,3,ku3-si1-dui4-ce4,n
樻,916,kui4,zg
卡塔赫納,10,ka3-ta3-he4-na4,nrt
克林斯曼,5,ke4-lin2-si1-man4,nrt
空前未有,13,kong1-qian2-wei4-you3,i
科莫湖,5,ke1-mo4-hu2,nr
誇耀,117,kua1-yao4,v
空曠曠,8,kong1-kuang4-kuang4,nr
寬大處理,3,kuan1-da4-chu4-li3,i
空身,3,kong1-shen1,n
哭笑不得,173,ku1-xiao4-bu4-de2,l
科學合理,6,ke1-xue2-he2-li3,n
開華結果,3,kai1-hua2-jie2-guo3,nz
科瓦奇,8,ke1-wa3-qi2,nr
柯正騰,19,ke1-zheng4-teng2,nr
狂濤巨浪,3,kuang2-tao1-ju4-lang4,i
開明,306,kai1-ming2,v
快快樂樂,22,kuai4-kuai4-le4-le4,i
控制點,31,kong4-zhi4-dian3,n
卡爾,161,ka3-er3,nrt
客戶端程序,9,ke4-hu4-duan1-cheng2-xu4,n
款語溫言,3,kuan3-yu3-wen1-yan2,n
空聞,45,kong1-wen2,n
卡里辛,6,ka3-li3-xin1,nrt
扣分標準,3,kou4-fen1-biao1-zhun3,n
看不起人,3,kan4-bu4-qi3-ren2,l
卡里姆,5,ka3-li3-mu3,nrt
齦牙纖維,3,ken3-ya2-xian1-wei2,n
虧空,83,kui1-kong1,vn
卡斯滕,2,ka3-si1-teng2,nr
扛去,3,kang2-qu4,v
空口說白話,3,kong1-kou3-shuo1-bai2-hua4,l
曠日引久,3,kuang4-ri4-yin3-jiu3,i
砍下去,3,kan3-xia4-qu4,v
空成,3,kong1-cheng2,v
開口見心,3,kai1-kou3-jian4-xin1,i
凱爾蓋朗,2,kai3-er3-gai4-lang3,nr
孔北海,2,kong3-bei3-hai3,nr
孔慶河,2,kong3-qing4-he2,nr
庫吏,2,ku4-li4,n
叩打,3,kou4-da3,v
抗捐,3,kang4-juan1,vn
括髮,3,kuo4-fa4,n
潰亂,3,kui4-luan4,v
克里斯蒂安,10,ke4-li3-si1-di4-an1,nrt
克復,46,ke4-fu4,nr
卡爾斯塔德,2,ka3-er3-si1-ta3-de2,nrt
刻本,339,ke4-ben3,n
空櫃子,3,kong1-gui4-zi,n
空個,3,kong1-ge4,b
苦痛,85,ku3-tong4,a
科普蘭,2,ke1-pu3-lan2,nr
齦乳頭,3,ken3-ru3-tou2,n
口鎮,4,kou3-zhen4,n
可設,3,ke3-she4,v
可液化,3,ke3-ye4-hua4,n
褲檔,3,ku4-dang4,n
喀什,311,ka1-shi2,ns
空忙一場,3,kong1-mang2-yi1-chang3,l
栲膠,65,kao3-jiao1,n
啃書蟲,3,ken3-shu1-chong2,l
看得,3,kan4-de,v
科西嘉,44,ke1-xi1-jia1,nr
庫車,116,ku4-che1,n
穬,23,kuang4,zg
齦溝,3,ken3-gou1,n
枯,1024,ku1,n
考虎,3,kao3-hu3,n
狂拼,3,kuang2-pin1,v
克努特,9,ke4-nu3-te4,nr
空軍官校,3,kong1-jun1-guan1-xiao4,l
堪輿家,3,kan1-yu2-jia1,ns
開議,3,kai1-yi4,v
庫卡,2,ku4-ka3,nrt
開來繼往,3,kai1-lai2-ji4-wang3,i
卡式爐,3,ka3-shi4-lu2,nr
捆綁,216,kun3-bang3,v
可持續性,20,ke3-chi2-xu4-xing4,n
砍手砍腳,3,kan3-shou3-kan3-jiao3,i
曠世奇才,2,kuang4-shi4-qi2-cai2,nr
箜篌,34,kong1-hou2,n
