chinese,frequency,pinyin,posseg
獜,2,lin2,zg
劉處玄,81,liu2-chu4-xuan2,nr
鸞跂鴻驚,3,luan2-qi2-hong2-jing1,i
冷森森,31,leng3-sen1-sen1,nr
漏出去,3,lou4-chu1-qu4,v
勞動合同,3,lao2-dong4-he2-tong,l
廉政網,3,lian2-zheng4-wang3,n
癳,114,luo3,zg
六七六,6,liu4-qi1-liu4,m
聯同,10,lian2-tong2,v
羅文青,2,luo2-wen2-qing1,nr
臘紙,3,la4-zhi3,n
留言簿,10,liu2-yan2-bu4,n
林希建,2,lin2-xi1-jian4,nr
陸億良,2,lu4-yi4-liang2,nr
拉長,127,la1-zhang3,v
連戰皆北,3,lian2-zhan4-jie1-bei3,l
兩線,107,liang3-xian4,m
劉玄德,48,liu2-xuan2-de2,nr
李老師,3,li3-lao3-shi1,nr
禮讚,19,li3-zan4,n
林款,4,lin2-kuan3,n
六百多支,2,liu4-bai3-duo1-zhi1,m
老鶴乘軒,3,lao3-he4-cheng2-xuan1,nr
林之孝,141,lin2-zhi1-xiao4,nr
牢記於心,3,lao2-ji4-yu2-xin1,n
冷戰,603,leng3-zhan4,v
羅斯納,2,luo2-si1-na4,nr
硫鐵礦,3,liu2-tie3-kuang4,nz
郎廷佐,7,lang2-ting2-zuo3,nr
露水,133,lu4-shui,v
龍蝦節,3,long2-xia1-jie2,nr
亂首垢面,3,luan4-shou3-gou4-mian4,i
蘭心慧,3,lan2-xin1-hui4,nr
龍生龍,9,long2-sheng1-long2,nr
氯化銨,34,lv4-hua4-an3,nz
魯莊公,7,lu3-zhuang1-gong1,nr
柳樹下,42,liu3-shu4-xia4,nr
禮拜三,3,li3-bai4-san1,t
六七點,4,liu4-qi1-dian3,m
羅樂林,3,luo2-le4-lin2,nr
力量強大,3,li4-liang4-qiang2-da4,nz
駱二人,2,luo4-er4-ren2,nr
辣妹,13,la4-mei4,n
立功喜報,3,li4-gong1-xi3-bao4,i
來信版,6,lai2-xin4-ban3,n
亂花,3,luan4-hua1,n
龍女嬌,2,long2-nv3-jiao1,nr
雷必達,9,lei2-bi4-da2,nr
龍化虎變,3,long2-hua4-hu3-bian4,nz
淪喪,171,lun2-sang4,v
林如是,3,lin2-ru2-shi4,l
量力而行,91,liang4-li4-er2-xing2,l
硫酸氨,3,liu2-suan1-an1,n
魯斯塔,4,lu3-si1-ta3,nr
劉公公,11,liu2-gong1-gong1,nr
療,299,liao2,n
柳州,151,liu3-zhou1,ns
李明軍,2,li3-ming2-jun1,nr
駱清時,3,luo4-qing1-shi2,nr
流動,2788,liu2-dong4,vn
樓梯,678,lou2-ti1,n
立元修,3,li4-yuan2-xiu1,nr
樑廷芬,3,liang2-ting2-fen1,nr
裸體照,3,luo3-ti3-zhao4,l
領航艇,3,ling3-hang2-ting3,n
六梯次,3,liu4-ti1-ci4,b
老馬嘶風,3,lao3-ma3-si1-feng1,nr
流光易逝,3,liu2-guang1-yi4-shi4,i
李卿映,3,li3-qing1-ying4,nr
洛斯,15,luo4-si1,ns
林麗韞,6,lin2-li4-yun4,nr
連明達夜,3,lian2-ming2-da2-ye4,l
兩大宗,2,liang3-da4-zong1,m
利爾賽,24,li4-er3-sai4,nr
六百塊,6,liu4-bai3-kuai4,m
令弟,28,ling4-di4,n
勞動所,59,lao2-dong4-suo3,n
立案偵查,3,li4-an4-zhen1-cha2,n
錄像廳,2,lu4-xiang4-ting1,n
輪駁,3,lun2-bo2,v
蘭光桑,2,lan2-guang1-sang1,nr
龍溝,2,long2-gou1,ns
力拼,8,li4-pin1,v
龍姿鳳採,3,long2-zi1-feng4-cai3,i
勞基法,3,lao2-ji1-fa3,n
量子群,3,liang4-zi3-qun2,n
劉益良,3,liu2-yi4-liang2,nr
萊菔子,3,lai2-fu2-zi,nz
洛鍾宮,4,luo4-zhong1-gong1,nr
漊,7,lou2,zg
論談,3,lun4-tan2,v
連雲港,137,lian2-yun2-gang3,nr
濾清器,13,lv4-qing1-qi4,nz
鉻鹽,11,luo4-yan2,n
連石亨,2,lian2-shi2-heng1,nr
量角器,3,liang2-jiao3-qi4,n
李應升,3,li3-ying1-sheng1,nr
劉志華,3,liu2-zhi4-hua2,nr
列明,3,lie4-ming2,nr
琍,17,li2,zg
醴泉,12,li3-quan2,ns
流上去,3,liu2-shang3-qu4,v
荔浦,3,li4-pu3,ns
留退步,3,liu2-tui4-bu4,vn
勞工階層,3,lao2-gong1-jie1-ceng2,l
