chinese,frequency,pinyin,posseg
摸下去,3,mo1-xia4-qu4,l
矛盾加深,3,mao2-dun4-jia1-shen1,n
米斯特拉爾,2,mi3-si1-te4-la1-er3,nrt
名主,3,ming2-zhu3,n
冒牌,34,mao4-pai2,v
渺無人跡,4,miao3-wu2-ren2-ji1,i
美學史,12,mei3-xue2-shi3,n
迷到,3,mi2-dao4,v
面邀,3,mian4-yao1,v
煤,2553,mei2,n
摩蘇爾,20,mo2-su1-er3,nrt
沒討,3,mei2-tao3,v
明確提出,3,ming2-que4-ti2-chu1,n
牧童,98,mu4-tong2,n
明知,897,ming2-zhi1,v
米特,67,mi3-te4,nrt
木表法,3,mu4-biao3-fa3,n
美術家,102,mei3-shu4-jia1,n
馬向前,7,ma3-xiang4-qian2,nr
買關節,3,mai3-guan1-jie2,n
沒收,892,mei2-shou1,v
馬小柱,6,ma3-xiao3-zhu4,nr
明槍暗箭,8,ming2-qiang1-an4-jian4,i
磨毛,2,mo2-mao2,n
滿場子,3,man3-chang3-zi,n
蒙藏,9,meng2-cang2,ns
米亞汗,4,mi3-ya4-han4,nr
明張溥,2,ming2-zhang1-pu3,nr
面向農村,3,mian4-xiang4-nong2-cun1,n
馬里科,37,ma3-li3-ke1,nr
蒙蒂克拉,32,meng2-di4-ke4-la1,nrt
門館,3,men2-guan3,n
馬達裡,2,ma3-da2-li3,nr
莫爾納爾,2,mo4-er3-na4-er3,nrt
明礬,64,ming2-fan2,n
謀利,46,mou2-li4,n
魔鬼連,3,mo2-gui3-lian2,i
木質素,32,mu4-zhi4-su4,n
梅西村,2,mei2-xi1-cun1,nr
麥克默,4,mai4-ke4-mo4,nr
茅草房,17,mao2-cao3-fang2,n
瑪蘇麗,2,ma3-su1-li4,nr
麥當勞,127,mai4-dang1-lao2,nrt
目標價,46,mu4-biao1-jia4,n
冥婚,3,ming2-hun1,n
明王遠,2,ming2-wang2-yuan3,nr
門兒,19,men2-er2,n
美化,189,mei3-hua4,ns
馬丁尼,2,ma3-ding1-ni2,nr
馬三保,11,ma3-san1-bao3,nr
蒙克,10,meng2-ke4,ns
