chinese,frequency,pinyin,posseg
耐爾,4,nai4-er3,nz
那雪雁,3,na4-xue3-yan4,nr
凝成,48,ning2-cheng2,v
腦下垂體,21,nao3-xia4-chui2-ti3,n
膿胸,3,nong2-xiong1,n
難辭其咎,18,nan2-ci2-qi2-jiu4,i
那銅屍,2,na4-tong2-shi1,nr
那遼兵,2,na4-liao2-bing1,nr
濃眉,72,nong2-mei2,n
捏起,3,nie1-qi3,v
納賽爾,43,na4-sai4-er3,nr
嫋,15,niao3,zg
那溪極,2,na4-xi1-ji2,nr
檸,58,ning2,zg
寧寺記,2,ning2-si4-ji4,nr
農械,3,nong2-xie4,n
難顏,3,nan2-yan2,n
諾伊曼,52,nuo4-yi1-man4,nrt
內傾,3,nei4-qing1,b
膩煩,42,ni4-fan2,a
女性陰道,3,nv3-xing4-yin1-dao4,n
黏得,3,nian2-de2,v
煖房,3,nuan3-fang2,vn
捏造罪名,3,nie1-zao4-zui4-ming2,l
農貿,15,nong2-mao4,j
內吸性,2,nei4-xi1-xing4,n
弄得好,3,nong4-de2-hao3,v
黏下去,3,nian2-xia4-qu4,v
努力實現,3,nu3-li4-shi2-xian4,nr
農事,123,nong2-shi4,n
逆,1328,ni4,vg
尿激酶,12,niao4-ji1-mei2,n
內定,27,nei4-ding4,n
農墾工作,3,nong2-ken3-gong1-zuo4,n
女總督,3,nv3-zong3-du1,n
你報,24,ni3-bao4,r
內酯,22,nei4-zhi3,n
尼卡羅,2,ni2-ka3-luo2,nr
能言善辯,27,neng2-yan2-shan4-bian4,i
南寧,314,nan2-ning2,ns
拈量,3,nian1-liang4,v
寧江區,3,ning2-jiang1-qu1,ns
難以完成,3,nan2-yi3-wan2-cheng2,l
男服務員,3,nan2-fu2-wu4-yuan2,n
南段,132,nan2-duan4,f
內日峰,2,nei4-ri4-feng1,ns
那珠母,2,na4-zhu1-mu3,nr
農技協,3,nong2-ji4-xie2,nt
那太監,11,na4-tai4-jian1,nr
內生植物,3,nei4-sheng1-zhi2-wu4,n
能寫能講,3,neng2-xie3-neng2-jiang3,v
內外援,2,nei4-wai4-yuan2,n
扭扯,3,niu3-che3,v
南津關,18,nan2-jin1-guan1,ns
尼勒克,2,ni2-lei1-ke4,nr
凝聚力,266,ning2-ju4-li4,n
寧為雞首,3,ning2-wei4-ji1-shou3,i
鳥山明,3,niao3-shan1-ming2,nz
黏好,3,nian2-hao3,a
寧壽宮,16,ning2-shou4-gong1,nr
內雕,3,nei4-diao1,n
納曼加,2,na4-man4-jia1,nr
男大當娶,3,nan2-da4-dang1-qu3,i
念慈在茲,3,nian4-ci2-zai4-zi1,nr
牛排肉,3,niu2-pai2-rou4,n
拿穩,3,na2-wen3,v
怒放,48,nu4-fang4,v
扭過頭來,3,niu3-guo4-tou2-lai2,l
農業試驗,3,nong2-ye4-shi4-yan4,n
逆道,3,ni4-dao4,v
腦力激盪,3,nao3-li4-ji1-dang4,l
寧敦伍,2,ning2-dun1-wu3,nr
腦白金,3,nao3-bai2-jin1,n
奴化教育,3,nu2-hua4-jiao4-yu4,l
囊匣如洗,3,nang2-xia2-ru2-xi3,n
那惡僧,5,na4-e4-seng1,nr
泥金,39,ni2-jin1,n
諾伊斯,10,nuo4-yi1-si1,nrt
泥牆,20,ni2-qiang2,n
女變男,3,nv3-bian4-nan2,nr
農經網,3,nong2-jing1-wang3,n
南水青,2,nan2-shui3-qing1,nr
鬧劇,124,nao4-ju4,n
虐刑,3,nve4-xing2,v
獰鬼,3,ning2-gui3,v
南運,5,nan2-yun4,j
那扎格,3,na4-zha1-ge2,nr
牛車,399,niu2-che1,n
黏住,6,nian2-zhu4,v
納瓦茲,3,na4-wa3-zi1,nr
泥路,4,ni2-lu4,n
內圖,9,nei4-tu2,n
穠纖,3,nong2-xian1,v
能看懂,3,neng2-kan4-dong3,l
嫩豆腐,4,nen4-dou4-fu,n
難民,740,nan2-min2,n
能源管理,3,neng2-yuan2-guan3-li3,n
凝固性,6,ning2-gu4-xing4,n
內蒙古自治區公安廳,2,nei4-meng2-gu3-zi4-zhi4-qu1-gong1-an1-ting1,nt
暖空氣,5,nuan3-kong1-qi4,n
能成,3,neng2-cheng2,v
南京軍區福州總醫院,2,nan2-jing1-jun1-qu1-fu2-zhou1-zong3-yi1-yuan4,nt
納牙,3,na4-ya2,ns
納希切,2,na4-xi1-qie4,nr
南部縣,3,nan2-bu4-xian4,ns
納順,2,na4-shun4,nz
耐壓性,3,nai4-ya1-xing4,n
難以為情,3,nan2-yi3-wei4-qing2,l
弄熄,3,nong4-xi1,n
耐酸鹼,3,nai4-suan1-jian3,nz
