chinese,frequency,pinyin,posseg
歐陽鋒萬,3,ou1-yang2-feng1-wan4,nr
歐陽鋒橫,4,ou1-yang2-feng1-heng2,nr
歐陽克亦,2,ou1-yang2-ke4-yi4,nr
偶數,95,ou3-shu4,n
偶然間,3,ou3-ran2-jian1,n
歐陽鋒授,6,ou1-yang2-feng1-shou4,n
歐陽鋒若,2,ou1-yang2-feng1-ruo4,nr
耦聯,3,ou3-lian2,vn
歐陽鋒心,4,ou1-yang2-feng1-xin1,nt
偶然,1312,ou3-ran2,d
歐陽清,3,ou1-yang2-qing1,nr
歐陽鋒現,2,ou1-yang2-feng1-xian4,nr
偶一,3,ou3-yi1,d
歐羅巴人種,167,ou1-luo2-ba1-ren2-zhong3,n
偶提,3,ou3-ti2,n
歐陽鋒尚,2,ou1-yang2-feng1-shang4,n
偶一為之,15,ou3-yi1-wei4-zhi1,i
毆傷,5,ou1-shang1,v
嘔吐者,3,ou3-tu3-zhe3,i
偶爾,1361,ou3-er3,d
偶人,30,ou3-ren2,n
偶合,9,ou3-he2,n
嘔吐,625,ou3-tu3,v
歐版,3,ou1-ban3,n
偶發,44,ou3-fa1,d
歐羅巴洲,19,ou1-luo2-ba1-zhou1,ns
歐迪芬,3,ou1-di2-fen1,nr
歐陽牧,2,ou1-yang2-mu4,nr
歐陽克打,2,ou1-yang2-ke4-da3,nz
歐陽克正,2,ou1-yang2-ke4-zheng4,nr
耦耕鄉,3,ou3-geng1-xiang1,vn
歐廣源,3,ou1-guang3-yuan2,nr
謳功頌德,3,ou1-gong1-song4-de2,v
鷗水相依,3,ou1-shui3-xiang1-yi1,n
歐元,1237,ou1-yuan2,nz
偶蹄目,38,ou3-ti2-mu4,n
歐陽鋒本,2,ou1-yang2-feng1-ben3,ns
歐普祥,2,ou1-pu3-xiang2,nr
偶然學習,3,ou3-ran2-xue2-xi2,n
歐陽世兄,5,ou1-yang2-shi4-xiong1,nr
歐陽鋒勁,3,ou1-yang2-feng1-jin4,nr
歐華,6,ou1-hua2,nz
歐洲集團,3,ou1-zhou1-ji2-tuan2,nt
歐陽豔平,3,ou1-yang2-yan4-ping2,nr
歐裔,4,ou1-yi4,n
歐呂豐,16,ou1-lv3-feng1,nr
偶然中斷,3,ou3-ran2-zhong1-duan4,i
歐陽鋒害,2,ou1-yang2-feng1-hai4,n
鷗,113,ou1,ng
歐陽鋒奇,4,ou1-yang2-feng1-qi2,nr
歐陽洛,10,ou1-yang2-luo4,ns
歐美均,2,ou1-mei3-jun1,j
歐時力,3,ou1-shi2-li4,nr
歐陽夫人,4,ou1-yang2-fu1-ren2,nz
歐司朗,5,ou1-si1-lang3,nr
偶函數,3,ou3-han2-shu4,n
歐文斯,10,ou1-wen2-si1,nr
歐陽克面,2,ou1-yang2-ke4-mian4,nz
歐陽克驚,4,ou1-yang2-ke4-jing1,nr
歐陽鋒微微,4,ou1-yang2-feng1-wei1-wei1,nr
偶極子,29,ou3-ji2-zi,n
歐美經典,3,ou1-mei3-jing1-dian3,ns
歐泊,11,ou1-po1,ns
歐陽鋒遠,2,ou1-yang2-feng1-yuan3,ns
慪,55,ou4,v
藕荷色,7,ou3-he2-se4,n
偶氮染料,9,ou3-dan4-ran3-liao4,n
歐美歌曲,3,ou1-mei3-ge1-qu3,ns
歐幾里得,251,ou1-ji3-li3-de2,ns
歐陽鋒料,3,ou1-yang2-feng1-liao4,n
歐美版,3,ou1-mei3-ban3,nz
歐陽鋒舊,2,ou1-yang2-feng1-jiu4,ns
藕粉,19,ou3-fen3,n
嘔吐物,3,ou3-tu3-wu4,i
歐美歌手,3,ou1-mei3-ge1-shou3,nt
藕荷,3,ou3-he2,n
歐羅港,2,ou1-luo2-gang3,ns
藕葉,3,ou3-ye4,n
歐洲委員會,31,ou1-zhou1-wei3-yuan2-hui4,nt
歐陽鋒右,5,ou1-yang2-feng1-you4,nr
歐米加,5,ou1-mi3-jia1,ns
歐陽鋒素,2,ou1-yang2-feng1-su4,n
歐陽溥存,2,ou1-yang2-pu3-cun2,nr
耦合環,3,ou3-he2-huan2,vn
歐陽克耳,2,ou1-yang2-ke4-er3,nr
歐陽克,437,ou1-yang2-ke4,ns
歐某陵,13,ou1-mou3-ling2,nr
鏂,1258,ou1,zg
謳吟,3,ou1-yin2,v
歐洲地區,38,ou1-zhou1-de-qu1,ns
嘔心,3,ou3-xin1,v
歐姆電阻,3,ou1-mu3-dian4-zu3,n
哦,3470,o2,zg
歐亞非,3,ou1-ya4-fei1,ns
偶見,3,ou3-jian4,a
歐陽山尊,2,ou1-yang2-shan1-zun1,nr
歐戰時,3,ou1-zhan4-shi2,n
漚珠槿豔,3,ou1-zhu1-jin3-yan4,nr
偶語,3,ou3-yu3,n
歐三洲,4,ou1-san1-zhou1,ns
歐文堡,4,ou1-wen2-bao3,nr
歐安,2,ou1-an1,ns
歐洲盟軍,3,ou1-zhou1-meng2-jun1,nt
偶逢,3,ou3-feng2,v
歐尼修,16,ou1-ni2-xiu1,nr
歐洲共同,3,ou1-zhou1-gong4-tong2,ns
歐洲原子能共同體,4,ou1-zhou1-yuan2-zi3-neng2-gong4-tong2-ti3,nt
喔,119,o1,e
歐陽克大,3,ou1-yang2-ke4-da4,ns
謳,12,ou1,v
歐陽鋒怪,3,ou1-yang2-feng1-guai4,n
歐陽鋒蛇,5,ou1-yang2-feng1-she2,n
歐南喜,4,ou1-nan2-xi3,nr
歐舒丹,3,ou1-shu1-dan1,nr
歐洲共同體,127,ou1-zhou1-gong4-tong2-ti3,nt
偶筆,3,ou3-bi3,d
藕節,5,ou3-jie2,n
漚沫槿豔,3,ou1-mo4-jin3-yan4,nr
鷗鳥,11,ou1-niao3,n
歐拉,277,ou1-la1,ns
藕花,3,ou3-hua1,n
甌江,33,ou1-jiang1,ns
歐委會,17,ou1-wei3-hui4,nt
歐格,38,ou1-ge2,n
歐陽天都,3,ou1-yang2-tian1-du1,ns
偶聯,3,ou3-lian2,n
偶然誤差,3,ou3-ran2-wu4-cha4,n
偶變投隙,3,ou3-bian4-tou2-xi4,i
歐陽鋒冷,9,ou1-yang2-feng1-leng3,ns
偶而為之,3,ou3-er2-wei4-zhi1,i
歐陽鋒罩,2,ou1-yang2-feng1-zhao4,n
噢冷酷,3,o1-leng3-ku4,nr
歐陽鋒喜,2,ou1-yang2-feng1-xi3,nr
歐陽應霽,6,ou1-yang2-ying1-ji4,nr
歐洲人,611,ou1-zhou1-ren2,n
歐市各國,3,ou1-shi4-ge4-guo2,ns
膒,4,ou1,zg
