chinese,frequency,pinyin,posseg
皮羅閣,5,pi2-luo2-ge2,nr
平尼亞,2,ping2-ni2-ya4,ns
普通人家,3,pu3-tong1-ren2-jia1,n
飄泊,43,piao1-po1,v
配銷,3,pei4-xiao1,v
平路,2,ping2-lu4,n
帕特瑪,3,pa4-te4-ma3,nr
帕爾門,4,pa4-er3-men2,nr
拋,2080,pao1,zg
聘問,3,pin4-wen4,v
配套技術,3,pei4-tao4-ji4-shu4,n
拍桌打凳,3,pai1-zhuo1-da3-deng4,n
佩龍文,2,pei4-long2-wen2,nr
平臺樑,3,ping2-tai2-liang2,nr
盤頭,3,pan2-tou2,s
平山堂,8,ping2-shan1-tang2,nr
平起,3,ping2-qi3,v
攀折,11,pan1-zhe2,v
披頭士,10,pi1-tou2-shi4,i
破壞分子,3,po4-huai4-fen4-zi3,n
盆浴,9,pen2-yu4,n
徘徊歧路,3,pai2-huai2-qi2-lu4,nr
瓶沉簪折,3,ping2-chen2-zan1-zhe2,z
庖代,3,pao2-dai4,n
賠額,3,pei2-e2,n
皮爾卡丹,3,pi2-er3-ka3-dan1,nr
皮龜,2,pi2-gui1,n
皮條客,3,pi2-tiao2-ke4,n
朋儕,3,peng2-chai2,n
堋,99,peng2,g
飄泊無定,3,piao1-po1-wu2-ding4,l
帕其尼,2,pa4-qi2-ni2,nr
頗有微辭,3,po1-you3-wei1-ci2,l
葡萄牙共和國政府,2,pu2-tao2-ya2-gong4-he2-guo2-zheng4-fu3,nt
片山,34,pian4-shan1,n
彭振山,5,peng2-zhen4-shan1,nr
趴伏,5,pa1-fu2,v
平東,4,ping2-dong1,ns
溥儀登,3,pu3-yi2-deng1,nr
普吉,45,pu3-ji2,nr
平面角,3,ping2-mian4-jiao3,n
披薩,2,pi1-sa4,n
皮亞傑,16,pi2-ya4-jie2,nr
平分,119,ping2-fen1,n
炮烙之刑,3,pao2-luo4-zhi1-xing2,n
潘蜀健,2,pan1-shu3-jian4,nr
貧窮線,2,pin2-qiong2-xian4,n
鋪面,82,pu4-mian4,n
泡泡,74,pao4-pao4,n
撲朔迷離,72,pu1-shuo4-mi2-li2,i
彭義斌,2,peng2-yi4-bin1,nr
蓬,550,peng2,nr
慓,21,piao1,zg
彭湘湘,62,peng2-xiang1-xiang1,nr
潘生丁,10,pan1-sheng1-ding1,nr
婆婆嘴,3,po2-po-zui3,n
朴子溪,3,pu3-zi-xi1,nr
賠償物,3,pei2-chang2-wu4,n
袍褂,3,pao2-gua4,n
普度,9,pu3-du4,n
排放量,51,pai2-fang4-liang4,n
派車去,3,pai4-che1-qu4,n
佩香囊,2,pei4-xiang1-nang2,nr
憉,34,peng2,zg
披紅掛綵,8,pi1-hong2-gua4-cai3,i
劈劈啪啪,17,pi1-pi1-pa1-pa1,o
皮划艇,26,pi2-hua2-ting3,n
品管,3,pin3-guan3,n
拍下來,3,pai1-xia4-lai2,v
潘梓年,2,pan1-zi3-nian2,ns
皮肉傷,3,pi2-rou4-shang1,n
澎湖灣,4,peng1-hu2-wan1,ns
平衡力,4,ping2-heng2-li4,n
蓬蓽增輝,3,peng2-bi4-zeng1-hui1,i
普羅特,5,pu3-luo2-te4,nr
蓬頭跣足,3,peng2-tou2-xian3-zu2,i
破皮,3,po4-pi2,n
皮裡,10,pi2-li3,nrt
陪住,3,pei2-zhu4,v
判讀,25,pan4-du2,v
叵測,14,po3-ce4,v
呠,2,pen3,zg
票面價值,3,piao4-mian4-jia4-zhi2,n
平衡木,38,ping2-heng2-mu4,nr
帕雷德,2,pa4-lei2-de2,nr
怕事,27,pa4-shi4,a
皮炎平,3,pi2-yan2-ping2,nr
平安財,3,ping2-an1-cai2,nr
拼來拼去,3,pin1-lai2-pin1-qu4,i
盤點,73,pan2-dian3,n
篇章,267,pian1-zhang1,n
拍攝,1316,pai1-she4,v
匹茨堡,3,pi3-ci2-bao3,ns
普蘭,13,pu3-lan2,nr
排水閘,4,pai2-shui3-zha2,n
烹龍煮鳳,3,peng1-long2-zhu3-feng4,nz
皮下組織,33,pi2-xia4-zu3-zhi1,n
皮蠅,3,pi2-ying2,n
彭總停,2,peng2-zong3-ting2,nr
平鬆,6,ping2-song1,a
排座,3,pai2-zuo4,v
帕拉南,2,pa4-la1-nan2,ns
僻靜,142,pi4-jing4,a
佩特里,3,pei4-te4-li3,nrt
騙上來,3,pian4-shang4-lai2,v
平衡點,42,ping2-heng2-dian3,n
賠補,3,pei2-bu3,v
蓬塔阿雷納斯,2,peng2-ta3-a1-lei2-na4-si1,nrt
平面波,4,ping2-mian4-bo1,n
皮膚科,54,pi2-fu1-ke1,n
憑信,28,ping2-xin4,n
披榛採蘭,3,pi1-zhen1-cai3-lan2,nz
破門,247,po4-men2,v
僕僕道途,3,pu2-pu2-dao4-tu2,i
蒲城縣,4,pu2-cheng2-xian4,ns
披褂,3,pi1-gua4,n
平漢,4,ping2-han4,t
裴斯泰,13,pei2-si1-tai4,nr
平治,3,ping2-zhi4,n
漂泊,136,piao1-bo2,v
盤龍城,3,pan2-long2-cheng2,ns
皮厚餡少,3,pi2-hou4-xian4-shao3,v
配襯,3,pei4-chen4,v
品牌化,9,pin3-pai2-hua4,n
配上來,3,pei4-shang4-lai2,v
拍賣場,5,pai1-mai4-chang3,n
叛敵,3,pan4-di2,v
龐眉鶴髮,3,pang2-mei2-he4-fa4,i
跑步走,3,pao3-bu4-zou3,l
平整度,6,ping2-zheng3-du4,n
浦城縣,5,pu3-cheng2-xian4,ns
彷徉,3,pang2-yang2,v
普朗克,144,pu3-lang3-ke4,nr
平滑,139,ping2-hua2,a
排子車,2,pai2-zi-che1,n
配電室,2,pei4-dian4-shi4,n
彭陽縣,2,peng2-yang2-xian4,ns
平民主義,148,ping2-min2-zhu3-yi4,n
潘迎紫,3,pan1-ying2-zi3,nr
菩薩心腸,33,pu2-sa4-xin1-chang2,n
判別分析,3,pan4-bie2-fen1-xi1,i
排頭兒,3,pai2-tou2-er2,n
帕爾特,3,pa4-er3-te4,nr
漂散,3,piao4-san4,v
頻譜儀,3,pin2-pu3-yi2,n
琵,91,pi2,n
排比,59,pai2-bi3,v
蒲輔周,5,pu2-fu3-zhou1,nr
拍攝者,2,pai1-she4-zhe3,n
泡洋塑膠,3,pao4-yang2-su4-jiao1,nz
排檔桿,3,pai2-dang4-gan3,v
浦彩質,2,pu3-cai3-zhi4,nr
盆栽,46,pen2-zai1,n
胼四儷六,3,pian2-si4-li4-liu4,t
葡萄酒業,3,pu2-tao2-jiu3-ye4,n
派息日,11,pai4-xi1-ri4,nz
蒲慕明,3,pu2-mu4-ming2,nr
漂落,3,piao1-luo4,v
披瀝,3,pi1-li4,nz
佩尼韋蒂,2,pei4-ni2-wei2-di4,nrt
漂流,231,piao1-liu2,a
偏正結構,3,pian1-zheng4-jie2-gou4,n
鋪展,24,pu4-zhan3,vn
憑欄處,3,ping2-lan2-chu4,n
噴氣機,8,pen1-qi4-ji1,n
片材,4,pian4-cai2,n
拼上來,3,pin1-shang4-lai2,l
盤錦縣,3,pan2-jin3-xian4,nr
盤馬彎弓,6,pan2-ma3-wan1-gong1,i
品紅,13,pin3-hong2,n
潘一鶴,33,pan1-yi1-he4,nr
偏析,3,pian1-xi1,vn
平泉橋,2,ping2-quan2-qiao2,nr
泡桐,59,pao1-tong2,n
破臉,20,po4-lian3,v
漂亮妹妹,3,piao4-liang4-mei4-mei4,n
憑感覺,3,ping2-gan3-jue2,n
攀登上,3,pan1-deng1-shang4,ns
迫促,14,po4-cu4,v
屏,943,ping2,n
憑弔,71,ping2-diao4,v
怕得要命,3,pa4-de-yao4-ming4,a
潑墨畫,3,po1-mo4-hua4,n
平成,10,ping2-cheng2,v
帕韋利奇,2,pa4-wei2-li4-qi2,nrt
披得,3,pi1-de2,v
評頭論腳,3,ping2-tou2-lun4-jiao3,l
貧家,3,pin2-jia1,n
潘佩珠,5,pan1-pei4-zhu1,nr
旁遮普邦,12,pang2-zhe1-pu3-bang1,ns
培基,3,pei2-ji1,v
砒石,3,pi1-shi2,n
披上去,3,pi1-shang3-qu4,v
普天之下,188,pu3-tian1-zhi1-xia4,i
葡萄花,2,pu2-tao2-hua1,n
旁枝,3,pang2-zhi1,n
紕,206,pi1,n
鋪床,28,pu4-chuang2,n
蒲柳之姿,3,pu2-liu3-zhi1-zi1,nr
撇清,15,pie1-qing1,v
笸,54,po3,zg
潘璋部,2,pan1-zhang1-bu4,nr
彭其劫,2,peng2-qi2-jie2,nr
炮座,9,pao4-zuo4,n
噴孔,3,pen1-kong3,n
