chinese,frequency,pinyin,posseg
全球戰略,3,quan2-qiu2-zhan4-lve4,n
妻女,69,qi1-nv3,n
千利體,4,qian1-li4-ti3,n
全真道士,7,quan2-zhen1-dao4-shi4,n
切菜刀,16,qie4-cai4-dao1,n
確鑿,119,que4-zao2,v
求學者,2,qiu2-xue2-zhe3,n
前沿科學,2,qian2-yan2-ke1-xue2,n
鉛球,51,qian1-qiu2,n
汽車用品,3,qi4-che1-yong4-pin3,n
強巴阿擦,3,qiang2-ba1-a1-ca1,n
清宮除道,3,qing1-gong1-chu2-dao4,n
勸降,191,quan4-jiang4,v
群輕折抽,3,qun2-qing1-zhe2-chou1,i
全員承包,3,quan2-yuan2-cheng2-bao1,n
齊齊哈爾市,48,qi2-qi2-ha1-er3-shi4,ns
青旅控股,13,qing1-lv3-kong4-gu3,nz
全場,627,quan2-chang3,n
珡,3,qin2,zg
切磋,135,qie1-cuo1,v
取經,392,qu3-jing1,v
青竹丹楓,3,qing1-zhu2-dan1-feng1,nr
漆布,4,qi1-bu4,nr
器官移植,3,qi4-guan1-yi2-zhi2,l
奇奧,3,qi2-ao4,nz
七頂,2,qi1-ding3,m
企盼,273,qi3-pan4,v
情書大全,3,qing2-shu1-da4-quan2,i
喬峰聽,4,qiao2-feng1-ting1,nr
乾燥機,4,qian2-zao4-ji1,nz
強國之路,3,qiang2-guo2-zhi1-lu4,l
汽車貸款,3,qi4-che1-dai4-kuan3,n
清河門區,3,qing1-he2-men2-qu1,ns
千金之家,3,qian1-jin1-zhi1-jia1,l
清盛,3,qing1-sheng4,a
青藏鐵路,111,qing1-cang2-tie3-lu4,nz
臍部,8,qi2-bu4,n
棄文就武,5,qi4-wen2-jiu4-wu3,i
齊泰,19,qi2-tai4,nz
祁奚舉午,3,qi2-xi1-ju3-wu3,nr
羌族,360,qiang1-zu2,nz
傾塌,3,qing1-ta1,v
慶元旦,3,qing4-yuan2-dan4,nr
秋熟,2,qiu1-shu2,nr
情意,275,qing2-yi4,n
且慢,332,qie3-man4,l
千門八將,3,qian1-men2-ba1-jiang1,i
清心寡歡,3,qing1-xin1-gua3-huan1,i
球路,3,qiu2-lu4,n
汽柴油,3,qi4-chai2-you2,n
青銅像,3,qing1-tong2-xiang4,n
懠,40,qi2,zg
七十二所,2,qi1-shi2-er4-suo3,m
亓瑜萍,2,qi2-yu2-ping2,nr
秦震忙,2,qin2-zhen4-mang2,nr
情人眼裡出西施,9,qing2-ren2-yan3-li3-chu1-xi1-shi1,i
怯懼,3,qie4-ju4,a
全義降,3,quan2-yi4-jiang4,nr
清豐,8,qing1-feng1,nz
曲頸瓶,3,qu1-jing3-ping2,n
權威,2073,quan2-wei1,nr
前些時,44,qian2-xie1-shi2,t
遣辭措意,3,qian3-ci2-cuo4-yi4,n
取數時間,3,qu3-shu4-shi2-jian1,n
牆子,5,qiang2-zi,n
羥亞胺,3,qiang3-ya4-an4,nz
啟動裝置,3,qi3-dong4-zhuang1-zhi4,n
七八棵,4,qi1-ba1-ke1,m
起稿,8,qi3-gao3,v
七斤,7,qi1-jin1,m
僑務委員,3,qiao2-wu4-wei3-yuan2,n
全興,50,quan2-xing4,b
全權負責,3,quan2-quan2-fu4-ze2,l
犬馬之疾,3,quan3-ma3-zhi1-ji2,i
扦,33,qian1,zg
千字文,31,qian1-zi4-wen2,n
丘慧慧,2,qiu1-hui4-hui4,nr
曲成團,2,qu1-cheng2-tuan2,n
秦鍾英,256,qin2-zhong1-ying1,nr
牽掛,232,qian1-gua4,v
乾漆,3,qian2-qi1,n
牽涉痛,3,qian1-she4-tong4,n
前塵,22,qian2-chen2,n
區別對待,3,qu1-bie2-dui4-dai4,n
氣割,8,qi4-ge1,n
輕騎隊,6,qing1-qi2-dui4,n
侵染,56,qin1-ran3,vn
切除術,50,qie1-chu2-shu4,l
取快一時,3,qu3-kuai4-yi1-shi2,i
凵,28,qian3,zg
缺乏營養,3,que1-fa2-ying2-yang3,n
全無是處,3,quan2-wu2-shi4-chu4,l
丘萬壑,2,qiu1-wan4-he4,nr
前輪驅動,3,qian2-lun2-qu1-dong4,l
千代田區,3,qian1-dai4-tian2-qu1,ns
杞縣,224,qi3-xian4,ns
漆上來,3,qi1-shang4-lai2,nr
穹宇,5,qiong2-yu3,n
情文並茂,3,qing2-wen2-bing4-mao4,i
情緒穩定,3,qing2-xu4-wen3-ding4,n
簽到帖,3,qian1-dao4-tie1,n
切近,22,qie4-jin4,v
清冽,27,qing1-lie4,a
起雲,6,qi3-yun2,n
全民教育,3,quan2-min2-jiao4-yu4,l
前葦塘,3,qian2-wei3-tang2,n
全美,150,quan2-mei3,nz
前輻照,3,qian2-fu2-zhao4,n
情信,3,qing2-xin4,n
旗袍,247,qi2-pao2,n
七題,3,qi1-ti2,n
翹翹板,2,qiao4-qiao4-ban3,n
七輯,2,qi1-ji2,m
起跑點,2,qi3-pao3-dian3,n
輕生重義,3,qing1-sheng1-zhong4-yi4,i
情之獨鍾,3,qing2-zhi1-du2-zhong1,i
情懷,273,qing2-huai2,n
全委會,7,quan2-wei3-hui4,nt
牽出,3,qian1-chu1,v
殻,3,qiao4,zg
撬下,3,qiao4-xia4,v
千百處,2,qian1-bai3-chu4,m
氣忍聲吞,3,qi4-ren3-sheng1-tun1,i
邛崍縣,3,qiong2-lai2-xian4,ns
前級,3,qian2-ji2,n
情報戰,3,qing2-bao4-zhan4,n
乾脆,1290,qian2-cui4,d
氣體性,3,qi4-ti3-xing4,n
千口,19,qian1-kou3,m
權宿,3,quan2-su4,n
去年末,8,qu4-nian2-mo4,t
汽車交易,3,qi4-che1-jiao1-yi4,n
群眾意見,3,qun2-zhong4-yi4-jian4,l
頃之,3,qing3-zhi1,d
青風道,2,qing1-feng1-dao4,n
囚糧,3,qiu2-liang2,n
七八十位,32,qi1-ba1-shi2-wei4,m
喬戈裡峰,27,qiao2-ge1-li3-feng1,nr
清輝照,2,qing1-hui1-zhao4,nr
氣象圖,3,qi4-xiang4-tu2,n
全民運動,3,quan2-min2-yun4-dong4,nz
青龍,164,qing1-long2,ns
去殺勝殘,3,qu4-sha1-sheng4-can2,i
缺月再圓,3,que1-yue4-zai4-yuan2,i
奇事,129,qi2-shi4,n
騎龍弄鳳,3,qi2-long2-nong4-feng4,i
棄情遺世,3,qi4-qing2-yi2-shi4,i
愜,14,qie4,zg
氣密性,26,qi4-mi4-xing4,n
錢德拉,13,qian2-de2-la1,nr
囚牢,7,qiu2-lao2,n
淺箱,3,qian3-xiang1,n
請提意見,3,qing3-ti2-yi4-jian4,i
屈明光,2,qu1-ming2-guang1,nr
欺世,3,qi1-shi4,v
撬槓,2,qiao4-gang4,v
權實,3,quan2-shi2,n
巧克力糖,3,qiao3-ke4-li4-tang2,nr
全體學生,3,quan2-ti3-xue2-sheng1,n
秋風過耳,2,qiu1-feng1-guo4-er3,l
輕舟浮泛,3,qing1-zhou1-fu2-fan4,n
強本弱枝,3,qiang2-ben3-ruo4-zhi1,n
全部歌手,3,quan2-bu4-ge1-shou3,l
起運港,3,qi3-yun4-gang3,nz
清嗓潤肺,3,qing1-sang3-run4-fei4,n
青妹,15,qing1-mei4,n
切諾基,14,qie4-nuo4-ji1,nrt
全球排名,3,quan2-qiu2-pai2-ming2,n
詮釋者,2,quan2-shi4-zhe3,n
簽名者,3,qian1-ming2-zhe3,n
晴毛,3,qing2-mao2,n
卿本佳人,3,qing1-ben3-jia1-ren2,nr
淺灘,162,qian3-tan1,n
卻,61348,que4,d
清濁同流,3,qing1-zhuo2-tong2-liu2,i
秋收季節,3,qiu1-shou1-ji4-jie2,n
青臉兒,5,qing1-lian3-er2,nr
全稱,612,quan2-cheng1,n
千呼萬喚,26,qian1-hu1-wan4-huan4,i
七彩谷,3,qi1-cai3-gu3,i
取予有節,3,qu3-yu3-you3-jie2,i
齊齊,50,qi2-qi2,nr
清點,132,qing1-dian3,n
齊齊整整,3,qi2-qi2-zheng3-zheng3,z
淺白色,2,qian3-bai2-se4,n
犬儒政策,3,quan3-ru2-zheng4-ce4,n
秋四官,2,qiu1-si4-guan1,nr
全般支援,3,quan2-ban1-zhi1-yuan2,i
去死皮,3,qu4-si3-pi2,n
牆角處,3,qiang2-jiao3-chu4,s
敲骨取髓,3,qiao1-gu3-qu3-sui3,i
乾縣,19,qian2-xian4,ns
怯防勇戰,3,qie4-fang2-yong3-zhan4,n
千粒重,3,qian1-li4-zhong4,l
秦磚漢,7,qin2-zhuan1-han4,nr
全文如下,3,quan2-wen2-ru2-xia4,l
奇襲戰術,3,qi2-xi2-zhan4-shu4,n
七聲,25,qi1-sheng1,m
錢牧齋,54,qian2-mu4-zhai1,nr
七處,27,qi1-chu4,m
寢不安席,3,qin3-bu4-an1-xi2,l
簽押,38,qian1-ya1,v
曲沃,14,qu1-wo4,a
羥神經酸,3,qiang3-shen2-jing1-suan1,nz
汽車修理,3,qi4-che1-xiu1-li3,n
千古遺恨,3,qian1-gu3-yi2-hen4,i
權弄威,2,quan2-nong4-wei1,nr
乾屍,203,qian2-shi1,n
奇函數,3,qi2-han2-shu4,n
千秋萬古,3,qian1-qiu1-wan4-gu3,i
前海,10,qian2-hai3,f
袪暑氣,3,qu1-shu3-qi4,nr
氣象要素,3,qi4-xiang4-yao4-su4,n
戚景通,6,qi1-jing3-tong1,nr
期刊網,3,qi1-kan1-wang3,n
全透明,3,quan2-tou4-ming2,n
曲調,420,qu1-diao4,n
潛水裝,3,qian2-shui3-zhuang1,n
切不,3,qie4-bu4,l
曲肱而枕,3,qu3-gong1-er2-zhen3,n
悽悽切切,3,qi1-qi1-qie1-qie1,z
槍片,3,qiang1-pian4,n
奇幻魔法,3,qi2-huan4-mo2-fa3,i
親職,3,qin1-zhi2,n
驅馬,3,qu1-ma3,n
全部,11398,quan2-bu4,n
青雲萬裡,3,qing1-yun2-wan4-li3,ns
氫,1011,qing1,n
群際行為,3,qun2-ji4-xing2-wei4,n
清議堂,8,qing1-yi4-tang2,nt
全民企業,3,quan2-min2-qi3-ye4,n
秦穆公,16,qin2-mu4-gong1,nr
齊嶄嶄,7,qi2-zhan3-zhan3,z
欺男霸女,3,qi1-nan2-ba4-nv3,i
起訴人,10,qi3-su4-ren2,n
祛痰劑,3,qu1-tan2-ji4,n
前進方向,3,qian2-jin4-fang1-xiang4,n
騎術,68,qi2-shu4,n
輕佻,44,qing1-tiao1,a
強烈反抗,3,qiang2-lie4-fan3-kang4,i
權位,138,quan2-wei4,n
強到,3,qiang2-dao4,v
啟寵納侮,3,qi3-chong3-na4-wu3,n
青年志願者協會,2,qing1-nian2-zhi4-yuan4-zhe3-xie2-hui4,nt
趨於穩定,3,qu1-yu2-wen3-ding4,i
青年救國,3,qing1-nian2-jiu4-guo2,ns
乾糧,3,qian2-liang2,j
前部,449,qian2-bu4,f
嗆鼻,4,qiang1-bi2,a
全真群,3,quan2-zhen1-qun2,nr
全部打,23,quan2-bu4-da3,m
牽引性,2,qian1-yin3-xing4,n
確守信義,3,que4-shou3-xin4-yi4,n
權力鬥爭,3,quan2-li4-dou4-zheng1,n
清沿明,7,qing1-yan2-ming2,nr
親戚,1254,qin1-qi1,n
裙帶菜,9,qun2-dai4-cai4,n
秦德文,2,qin2-de2-wen2,nr
青年人,350,qing1-nian2-ren2,n
寢食不安,34,qin3-shi2-bu4-an1,l
全部內容,3,quan2-bu4-nei4-rong2,n
乾涸,196,qian2-he2,v
勸諭,26,quan4-yu4,v
強寧斯,2,qiang2-ning2-si1,nr
七八艘,2,qi1-ba1-sou1,m
怯怯,85,qie4-qie4,z
情勢,609,qing2-shi4,n
泣不可仰,3,qi4-bu4-ke3-yang3,v
七十七國集團,13,qi1-shi2-qi1-guo2-ji2-tuan2,nt
親兄弟,114,qin1-xiong1-di4,n
清人,245,qing1-ren2,n
乾號,2,qian2-hao4,n
全美達,3,quan2-mei3-da2,nr
騎田嶺,14,qi2-tian2-ling3,ns
鉗擊,3,qian2-ji1,v
旗號,376,qi2-hao4,n
情人樓,3,qing2-ren2-lou2,n
氣死我,3,qi4-si3-wo3,n
千所,9,qian1-suo3,m
竊玉偷香,3,qie4-yu4-tou1-xiang1,i
取靜集,3,qu3-jing4-ji2,i
棄子,3,qi4-zi,n
遷鬆之壽,3,qian1-song1-zhi1-shou4,n
青紅絲,2,qing1-hong2-si1,nr
衾寒枕冷,3,qin1-han2-zhen3-leng3,nr
清輝如,2,qing1-hui1-ru2,nr
全南縣,3,quan2-nan2-xian4,ns
氰戊菊酯,4,qing2-wu4-ju2-zhi3,nz
情願,488,qing2-yuan4,n
全材,3,quan2-cai2,n
衢縣,10,qu2-xian4,ns
缺點,780,que1-dian3,n
屈朝陽,3,qu1-chao2-yang2,nr
氣粗,20,qi4-cu1,n
請客吃飯,3,qing3-ke4-chi1-fan4,i
青銅器,361,qing1-tong2-qi4,n
球形,382,qiu2-xing2,n
千件,16,qian1-jian4,m
全部封,7,quan2-bu4-feng1,m
青龍滿族自治縣,2,qing1-long2-man3-zu2-zi4-zhi4-xian4,ns
前一晚,3,qian2-yi1-wan3,t
敲鐘,3,qiao1-zhong1,n
騎李湘,3,qi2-li3-xiang1,ns
寢具,7,qin3-ju4,n
清東陵,18,qing1-dong1-ling2,ns
勸酒,61,quan4-jiu3,v
棄兒,17,qi4-er2,n
缺一不可,65,que1-yi1-bu4-ke3,i
淺藍色,41,qian3-lan2-se4,n
前僕後繼,184,qian2-pu2-hou4-ji4,i
強壯,263,qiang2-zhuang4,a
千二八百,3,qian1-er4-ba1-bai3,m
侵蝕循環,3,qin1-shi2-xun2-huan2,n
勤雜工,13,qin2-za2-gong1,n
輕言寡信,3,qing1-yan2-gua3-xin4,i
鋟,51,qin3,g
拳壇,6,quan2-tan2,n
強鄰,3,qiang2-lin2,v
氣候圖,3,qi4-hou4-tu2,n
群賢畢至,3,qun2-xian2-bi4-zhi4,i
全艇,3,quan2-ting3,n
輕文重武,3,qing1-wen2-zhong4-wu3,i
區位,136,qu1-wei4,n
青巖板,3,qing1-yan2-ban3,nr
七千塊,2,qi1-qian1-kuai4,m
青化砭,21,qing1-hua4-bian1,ns
乾瞪眼,3,qian2-deng4-yan3,n
箝位,3,qian2-wei4,n
婍,4,qi3,zg
巧勁兒,2,qiao3-jin4-er2,nr
牽引鉤,3,qian1-yin3-gou1,nz
千臺,2,qian1-tai2,m
輕觸,3,qing1-chu4,v
七十家,3,qi1-shi2-jia1,m
起爆,63,qi3-bao4,v
清明菜,3,qing1-ming2-cai4,n
乾旱地區,3,qian2-han4-di4-qu1,n
其外,3,qi2-wai4,c
詮次,3,quan2-ci4,v
強啡肽,3,qiang2-fei1-tai4,n
七裡溝,238,qi1-li3-gou1,ns
七十九期,3,qi1-shi2-jiu3-qi1,m
清風勁節,3,qing1-feng1-jin4-jie2,n
青藏線,3,qing1-cang2-xian4,n
侵略軍,733,qin1-lve4-jun1,n
丘疹,76,qiu1-zhen3,n
慶大黴素,27,qing4-da4-mei2-su4,nz
全三冊,3,quan2-san1-ce4,m
千千萬萬只,2,qian1-qian1-wan4-wan4-zhi3,m
勤勞,706,qin2-lao2,a
請戴,3,qing3-dai4,v
前向掩蔽,3,qian2-xiang4-yan3-bi4,i
搶救室,4,qiang3-jiu4-shi4,nz
親姐姐,3,qin1-jie3-jie3,n
清軟英,2,qing1-ruan3-ying1,nr
秦軍弩,2,qin2-jun1-nu3,nr
驅羊戰狼,3,qu1-yang2-zhan4-lang2,n
袪風,3,qu1-feng1,vn
齊天聖,5,qi2-tian1-sheng4,nr
齊一儒,3,qi2-yi1-ru2,nr
千代田,4,qian1-dai4-tian2,nr
清楚說出,3,qing1-chu3-shuo1-chu1,i
起止,24,qi3-zhi3,v
輕諾寡信,3,qing1-nuo4-gua3-xin4,i
悄,415,qiao1,d
青蠅點玉,3,qing1-ying2-dian3-yu4,nz
犬戎,3,quan3-rong2,n
秦界至,2,qin2-jie4-zhi4,nr
秋香綠,2,qiu1-xiang1-lv4,nr
青蜂,2,qing1-feng1,n
瞧寧,3,qiao2-ning2,v
七句,3,qi1-ju4,m
秦楨凱,2,qin2-zhen1-kai3,nr
親屬制度,3,qin1-shu3-zhi4-du4,n
球隊,2238,qiu2-dui4,n
秋毫勿犯,3,qiu1-hao2-wu4-fan4,i
圈定,182,quan1-ding4,v
青果巷,3,qing1-guo3-xiang4,ns
穹窿,53,qiong2-long2,n
祈望,9,qi2-wang4,v
欽博拉索山,4,qin1-bo2-la1-suo3-shan1,ns
親友團,3,qin1-you3-tuan2,n
錢曉虎,4,qian2-xiao3-hu3,nr
齲,269,qu3,n
情迷,3,qing2-mi2,n
強權國家,3,qiang2-quan2-guo2-jia1,l
遒勁,68,qiu2-jin4,a
強脊炎,3,qiang2-ji2-yan2,nr
區位理論,3,qu1-wei4-li3-lun4,n
秋盡冬,5,qiu1-jin3-dong1,nr
傾巢來犯,3,qing1-chao2-lai2-fan4,i
曲周,4,qu1-zhou1,nr
愆期,3,qian1-qi1,v
七八下,14,qi1-ba1-xia4,m
全防,3,quan2-fang2,n
豈止,129,qi3-zhi3,v
丘墓,3,qiu1-mu4,n
曲江縣,9,qu3-jiang1-xian4,ns
全面提高,3,quan2-mian4-ti2-gao1,n
氰甲基化,3,qing2-jia3-ji1-hua4,nz
竊竊私議,25,qie4-qie4-si1-yi4,i
青茶,8,qing1-cha2,n
搶生意,13,qiang3-sheng1-yi4,v
七發,12,qi1-fa1,nz
窮光蛋,66,qiong2-guang1-dan4,n
秦屬南,256,qin2-shu3-nan2,ns
喬伊斯,13,qiao2-yi1-si1,nr
七輪,9,qi1-lun2,m
情態詞,3,qing2-tai4-ci2,n
雀躍三分,3,que4-yue4-san1-fen1,n
七八十里,12,qi1-ba1-shi2-li3,m
渠東侵,2,qu2-dong1-qin1,nr
七百五十萬,6,qi1-bai3-wu3-shi2-wan4,m
屈一伸,2,qu1-yi1-shen1,nr
前呼後擁,65,qian2-hu1-hou4-yong1,i
輕拂,12,qing1-fu2,v
喬丹,80,qiao2-dan1,nr
清晰可見,58,qing1-xi1-ke3-jian4,l
巧計,34,qiao3-ji4,v
闕至尊,2,que4-zhi4-zun1,nr
秦東穎,2,qin2-dong1-ying3,nr
潛心,333,qian2-xin1,n
七八十個,14,qi1-ba1-shi2-ge4,m
缺貨量,3,que1-huo4-liang4,n
卻露,2,que4-lu4,v
棄之度外,3,qi4-zhi1-du4-wai4,i
青南,24,qing1-nan2,ns
乾爸爸,3,qian2-ba4-ba4,nr
搶炮,3,qiang3-pao4,v
曲臺殿,2,qu1-tai2-dian4,nr
乾草堆,8,qian2-cao3-dui1,n
穹隆式,3,qiong2-long2-shi4,n
橋本龍,3,qiao2-ben3-long2,n
箝制,6,qian2-zhi4,n
乾衣機,8,qian2-yi1-ji1,n
千百樣,2,qian1-bai3-yang4,m
氣街,3,qi4-jie1,n
乾柴烈火,10,qian2-chai2-lie4-huo3,i
青紅鞍,3,qing1-hong2-an1,nr
起鬨,3,qi3-hong4,vn
蘧,9,qu2,x
奇聲,3,qi2-sheng1,n
強棒,3,qiang2-bang4,n
切肉刀,3,qie4-rou4-dao1,l
傾耳注目,3,qing1-er3-zhu4-mu4,i
千古佳話,8,qian1-gu3-jia1-hua4,i
氣絕,113,qi4-jue2,v
千歲一時,3,qian1-sui4-yi1-shi2,i
屈尊就卑,3,qu1-zun1-jiu4-bei1,i
七二六,6,qi1-er4-liu4,m
氫脆,4,qing1-cui4,n
騎回去,3,qi2-hui2-qu4,i
氣平,3,qi4-ping2,n
氣誼相投,3,qi4-yi4-xiang1-tou2,n
氫氯酸,3,qing1-lv4-suan1,nz
鑋,25,qing1,zg
壍,11,qian4,zg
情節,1325,qing2-jie2,n
曲東,3,qu1-dong1,ns
全家人,194,quan2-jia1-ren2,n
奇冷無比,3,qi2-leng3-wu2-bi3,i
青枝綠葉,6,qing1-zhi1-lv4-ye4,nr
牽強附合,3,qian1-qiang2-fu4-he2,i
全脂奶粉,3,quan2-zhi1-nai3-fen3,n
汽車團,4,qi4-che1-tuan2,n
雀目,3,que4-mu4,n
潛水員,47,qian2-shui3-yuan2,n
齊足並馳,3,qi2-zu2-bing4-chi2,i
牽繫,14,qian1-xi4,v
琴簫,3,qin2-xiao1,n
青貯飼料,3,qing1-zhu4-si4-liao4,n
鵲橋,18,que4-qiao2,ns
錢法成,2,qian2-fa3-cheng2,nr
切入,141,qie1-ru4,v
群星獎,3,qun2-xing1-jiang3,n
齊齊發,2,qi2-qi2-fa1,nr
奇譚,3,qi2-tan2,i
七貞九烈,3,qi1-zhen1-jiu3-lie4,i
起點網,3,qi3-dian3-wang3,v
七班,6,qi1-ban1,m
切開,144,qie4-kai1,ad
秋點兵,3,qiu1-dian3-bing1,nr
情感小說,3,qing2-gan3-xiao3-shuo1,l
前世,120,qian2-shi4,t
親政,289,qin1-zheng4,n
全套教材,3,quan2-tao4-jiao4-cai2,n
情種,16,qing2-zhong3,n
清理門戶,3,qing1-li3-men2-hu4,n
砌體,8,qi4-ti3,n
千秋功過,3,qian1-qiu1-gong1-guo4,i
潛德祕行,3,qian2-de2-mi4-xing2,n
前桅,3,qian2-wei2,n
七十三年,19,qi1-shi2-san1-nian2,m
全攻略,3,quan2-gong1-lve4,n
