chinese,frequency,pinyin,posseg
人物週刊,3,ren2-wu4-zhou1-kan1,n
任周瑜,2,ren4-zhou1-yu2,nr
日照計算,3,ri4-zhao4-ji4-suan4,n
任港英,2,ren4-gang3-ying1,nr
人同此心,14,ren2-tong2-ci3-xin1,l
如此來說,3,ru2-ci3-lai2-shuo1,c
肉包子打,3,rou4-bao1-zi-da3,n
日本防衛廳,137,ri4-ben3-fang2-wei4-ting1,nt
認識膚淺,3,ren4-shi2-fu1-qian3,n
鎔銷,3,rong2-xiao1,vn
若遇明,2,ruo4-yu4-ming2,nr
認用,3,ren4-yong4,v
人本,148,ren2-ben3,n
人道,133,ren2-dao4,n
忍受力,2,ren3-shou4-li4,i
蓉城,20,rong2-cheng2,ns
軟性覆面,3,ruan3-xing4-fu4-mian4,l
如是者,2,ru2-shi4-zhe3,c
任相國,5,ren4-xiang1-guo2,nr
日濡月染,3,ri4-ru2-yue4-ran3,i
肉脯,3,rou4-fu3,n
如臨大敵,38,ru2-lin2-da4-di2,i
仁壽,70,ren2-shou4,nr
任浚,28,ren4-jun4,nrfg
入市,701,ru4-shi4,ns
任行壽,2,ren4-xing2-shou4,nr
日引月長,3,ri4-yin3-yue4-zhang3,n
瑞切爾,3,rui4-qie4-er3,nr
軟件屋,3,ruan3-jian4-wu1,n
任何藉口,3,ren4-he2-jie4-kou3,n
如此一來,116,ru2-ci3-yi1-lai2,c
人居,71,ren2-ju1,n
容貌特徵,3,rong2-mao4-te4-zhi3,nr
日晒牢度,3,ri4-shai4-lao2-du4,n
如夢如醉,3,ru2-meng4-ru2-zui4,i
人盡其才,23,ren2-jin3-qi2-cai2,i
日本隊,72,ri4-ben3-dui4,nt
日長似歲,3,ri4-zhang3-shi4-sui4,n
任前軍,2,ren4-qian2-jun1,nr
人謀不臧,3,ren2-mou2-bu4-zang1,i
如有所失,8,ru2-you3-suo3-shi1,i
人員編制,3,ren2-yuan2-bian1-zhi4,n
日東,3,ri4-dong1,ns
日晒,61,ri4-shai4,nrt
荏平縣,3,ren3-ping2-xian4,v
人有旦夕,3,ren2-you3-dan4-xi1,i
人小氣大,3,ren2-xiao3-qi4-da4,l
閏年,41,run4-nian2,t
扔掉,216,reng1-diao4,v
乳牙,11,ru3-ya2,ns
人叢,241,ren2-cong2,n
熱,11755,re4,n
仁愛國中,3,ren2-ai4-guo2-zhong1,nr
熱情洋溢,51,re4-qing2-yang2-yi4,l
阮雲生,2,ruan3-yun2-sheng1,nr
榮典,6,rong2-dian3,nr
容忍性,2,rong2-ren3-xing4,n
惹事招非,3,re3-shi4-zhao1-fei1,i
認親,31,ren4-qin1,v
人口眾多,3,ren2-kou3-zhong4-duo1,l
乳膠,80,ru3-jiao1,n
任科倫,2,ren4-ke1-lun2,nr
閏音,3,run4-yin1,n
乳香樹,3,ru3-xiang1-shu4,n
人流量,23,ren2-liu2-liang4,n
如箭在弦,6,ru2-jian4-zai4-xian2,i
日射角,3,ri4-she4-jiao3,n
日食萬錢,3,ri4-shi2-wan4-qian2,l
弱冠,28,ruo4-guan4,n
榮祿你,2,rong2-lu4-ni3,nr
汝南晨雞,3,ru3-nan2-chen2-ji1,nz
瑞波,2,rui4-bo1,ns
若烹小鮮,3,ruo4-peng1-xiao3-xian1,i
日航旗,2,ri4-hang2-qi2,n
若街亭,2,ruo4-jie1-ting2,nr
入門級,3,ru4-men2-ji2,l
若昧平生,3,ruo4-mei4-ping2-sheng1,i
