chinese,frequency,pinyin,posseg
史文恭,56,shi3-wen2-gong1,nr
守望,62,shou3-wang4,v
孫秀萍,2,sun1-xiu4-ping2,nr
神霄宮,2,shen2-xiao1-gong1,nr
首期款,3,shou3-qi1-kuan3,n
四千名,3,si4-qian1-ming2,m
孫乾先,3,sun1-qian2-xian1,nr
盛譽,81,sheng4-yu4,n
縮印,7,suo1-yin4,v
瞬時,178,shun4-shi2,t
石片岩,2,shi2-pian4-yan2,nr
水際,3,shui3-ji4,n
水合物,24,shui3-he2-wu4,n
少年文學,3,shao4-nian2-wen2-xue2,l
三二里,9,san1-er4-li3,m
試探性,50,shi4-tan4-xing4,n
宋遼夏,2,song4-liao2-xia4,nr
生產量,302,sheng1-chan3-liang4,n
屍變,99,shi1-bian4,n
盛銷,3,sheng4-xiao1,v
石林,432,shi2-lin2,nr
射獵,65,she4-lie4,n
宋鄧名,3,song4-deng4-ming2,nr
三萬五千四百四十五箱,2,san1-wan4-wu3-qian1-si4-bai3-si4-shi2-wu3-xiang1,m
深褐,3,shen1-he4,n
少之又少,3,shao3-zhi1-you4-shao3,l
蘇旦,3,su1-dan4,ns
鬆葉,2,song1-ye4,nr
史思明,38,shi3-si1-ming2,nr
宋兵入,2,song4-bing1-ru4,nr
商務簽證,3,shang1-wu4-qian1-zheng4,n
散熱器,51,san4-re4-qi4,n
森嚴壁壘,2,sen1-yan2-bi4-lei3,nr
四方,1089,si4-fang1,m
色彩繽紛,24,se4-cai3-bin1-fen1,i
深水稻,3,shen1-shui3-dao4,n
身教,17,shen1-jiao4,n
送達,235,song4-da2,v
斯托默,2,si1-tuo1-mo4,nr
市政建設,3,shi4-zheng4-jian4-she4,l
市場化,383,shi4-chang3-hua4,n
散射長度,3,san3-she4-zhang3-du4,n
聲像,50,sheng1-xiang4,n
施諾巴,3,shi1-nuo4-ba1,nr
說唱版,3,shuo1-chang4-ban3,n
陝西省旅遊局,2,shan3-xi1-sheng3-lv3-you2-ju2,nt
蘇哈邁特,2,su1-ha1-mai4-te4,nrt
孫伏虎,21,sun1-fu2-hu3,nr
詩情,36,shi1-qing2,n
十幾年,575,shi2-ji3-nian2,m
收藏夾,3,shou1-cang2-jia1,n
宋詩別,4,song4-shi1-bie2,nr
索,1494,suo3,nr
送客,48,song4-ke4,v
市農會,3,shi4-nong2-hui4,n
上軌,3,shang4-gui3,b
上溢下漏,3,shang4-yi4-xia4-lou4,n
鬆濤,46,song1-tao1,nr
社區網,3,she4-qu1-wang3,n
宋彥通,10,song4-yan4-tong1,nr
什麼世道,3,shen2-me-shi4-dao4,z
松鼠猴,3,song1-shu3-hou2,n
升階,3,sheng1-jie1,n
絲包線,3,si1-bao1-xian4,n
雙雜交,3,shuang1-za2-jiao1,n
森林保護,3,sen1-lin2-bao3-hu4,nr
史秋實,2,shi3-qiu1-shi2,nr
掃堂腿,10,sao3-tang2-tui3,l
束縛電子,3,shu4-fu4-dian4-zi,n
樹根頭,3,shu4-gen1-tou2,n
擻,2,sou3,zg
熟睡中,3,shu2-shui4-zhong1,n
豎直,32,shu4-zhi2,v
蘇傑生,2,su1-jie2-sheng1,nr
水仗,3,shui3-zhang4,n
水旱災害,17,shui3-han4-zai1-hai4,l
山羊絨,4,shan1-yang2-rong2,nr
閃避不及,3,shan3-bi4-bu4-ji2,i
十幾句,6,shi2-ji3-ju4,m
失足,123,shi1-zu2,v
索取權,30,suo3-qu3-quan2,nr
述懷,6,shu4-huai2,v
十六首,2,shi2-liu4-shou3,m
鬆遼,81,song1-liao2,ns
塞維魯,7,sai1-wei2-lu3,nr
蘇浙滬,2,su1-zhe4-hu4,nr
輸卵管炎,3,shu1-luan3-guan3-yan2,n
上光,18,shang4-guang1,n
甚而,49,shen4-er2,d
數值碼,3,shu4-zhi2-ma3,n
宋哲元,23,song4-zhe2-yuan2,nr
水彩,23,shui3-cai3,n
遂心,17,sui4-xin1,v
守份,3,shou3-fen4,n
雖死猶生,6,sui1-si3-you2-sheng1,i
十步,73,shi2-bu4,d
歲首,30,sui4-shou3,n
飼,4,si4,zg
森美,3,sen1-mei3,a
數學考試,3,shu4-xue2-kao3-shi4,n
使用稅,9,shi3-yong4-shui4,n
束胸,3,shu4-xiong1,v
詩牌,3,shi1-pai2,n
溼寒,8,shi1-han2,a
時代感,42,shi2-dai4-gan3,n
剎閘,3,sha1-zha2,n
少數整,3,shao3-shu4-zheng3,m
水立方,3,shui3-li4-fang1,n
商陽劍,13,shang1-yang2-jian4,nr
薩拉託,5,sa4-la1-tuo1,nr
山長水闊,3,shan1-zhang3-shui3-kuo4,nr
手誤,3,shou3-wu4,n
水頭鄉,3,shui3-tou2-xiang1,n
山徑,64,shan1-jing4,n
書面發言,3,shu1-mian4-fa1-yan2,n
射到,3,she4-dao4,v
司馬或,2,si1-ma3-huo4,nr
撒腿,65,sa1-tui3,nz
蘇克達斯,3,su1-ke4-da2-si1,ns
數不盡,3,shu4-bu4-jin3,l
孫詒讓,15,sun1-yi2-rang4,nr
桑斯兒,42,sang1-si1-er2,nr
剩餘偏移,3,sheng4-yu2-pian1-yi2,l
散熱片,9,san4-re4-pian4,n
四隻,203,si4-zhi1,m
沈君玉,2,shen3-jun1-yu4,nr
算術,585,suan4-shu4,n
孫雲球,2,sun1-yun2-qiu2,nr
塞爾夫,2,sai1-er3-fu1,nrt
孫悅,32,sun1-yue4,nr
宋體字,3,song4-ti3-zi4,nr
瘙,4,sao4,zg
升任,334,sheng1-ren4,v
沈向洋,7,shen3-xiang4-yang2,nr
收管,3,shou1-guan3,n
算命網,3,suan4-ming4-wang3,n
省委書記,3,sheng3-wei3-shu1-ji4,n
示範戶,5,shi4-fan4-hu4,n
十幾千米,7,shi2-ji3-qian1-mi3,m
上套,3,shang4-tao4,b
首烏藤,3,shou3-wu1-teng2,n
深沈,3,shen1-shen3,j
鬆懈下,3,song1-xie4-xia4,vn
三四丈,18,san1-si4-zhang4,m
三百步,7,san1-bai3-bu4,m
十日,244,shi2-ri4,t
識圖,3,shi2-tu2,v
扇骨子,3,shan4-gu3-zi,n
水浴加,8,shui3-yu4-jia1,nz
善言,29,shan4-yan2,n
四十七歲,8,si4-shi2-qi1-sui4,m
世翁,2,shi4-weng1,n
三葉蟲,49,san1-ye4-chong2,n
柿樹,23,shi4-shu4,n
肆意妄為,12,si4-yi4-wang4-wei4,i
蘇非派,22,su1-fei1-pai4,nr
損人不利己,2,sun3-ren2-bu4-li4-ji3,i
塞伊,2,sai1-yi1,nrt
耍酒瘋,3,shua3-jiu3-feng1,l
蛇毒,59,she2-du2,n
束蘊請火,3,shu4-yun4-qing3-huo3,nr
溼熱,281,shi1-re4,z
聲明者,3,sheng1-ming2-zhe3,n
孫文匪,2,sun1-wen2-fei3,nr
斯海軍,3,si1-hai3-jun1,nr
四點,147,si4-dian3,m
生態鄉,2,sheng1-tai4-xiang1,l
山光水色,11,shan1-guang1-shui3-se4,n
雙影,3,shuang1-ying3,n
訴苦會,3,su4-ku3-hui4,l
述評,50,shu4-ping2,v
三不拗六,3,san1-bu4-niu4-liu4,nr
閯,8,sha4,zg
生活理想,3,sheng1-huo2-li3-xiang3,n
深圖遠算,3,shen1-tu2-yuan3-suan4,i
碎屍案,3,sui4-shi1-an4,n
視錯覺,3,shi4-cuo4-jue2,i
攝影記者,3,she4-ying3-ji4-zhe3,n
矢量積,2,shi3-liang4-ji1,n
三十座,5,san1-shi2-zuo4,m
審校,5,shen3-xiao4,v
食管,181,shi2-guan3,n
守護員,3,shou3-hu4-yuan2,n
四十日,9,si4-shi2-ri4,m
水燈,6,shui3-deng1,n
三達德,3,san1-da2-de2,nrt
腮腺炎,18,sai1-xian4-yan2,n
四川全興,3,si4-chuan1-quan2-xing4,nt
燒得,3,shao1-de2,v
贍望,3,shan4-wang4,v
酥油茶,36,su1-you2-cha2,n
隨後就到,3,sui2-hou4-jiu4-dao4,l
山魯佐,3,shan1-lu3-zuo3,nr
索橋,6,suo3-qiao2,nr
柿糕,3,shi4-gao1,n
數字計領,3,shu4-zi4-ji4-ling3,n
授階儀式,3,shou4-jie1-yi2-shi4,n
鼠標墊,3,shu3-biao1-dian4,n
沙米隱,2,sha1-mi3-yin3,nr
食草動物,11,shi2-cao3-dong4-wu4,n
山叢,2,shan1-cong2,n
師徒關係,3,shi1-tu2-guan1-xi4,l
剎時,23,sha1-shi2,t
社教館,3,she4-jiao4-guan3,n
石清露,4,shi2-qing1-lu4,nr
慎於接物,3,shen4-yu2-jie1-wu4,l
聲色狗馬,3,sheng1-se4-gou3-ma3,i
涉及面,77,she4-ji2-mian4,n
鎖簧,6,suo3-huang2,n
失官,3,shi1-guan1,n
試驗小區,3,shi4-yan4-xiao3-qu1,n
尚義,35,shang4-yi4,nr
四個堅持,3,si4-ge4-jian1-chi2,n
塑性體,3,su4-xing4-ti3,n
是非得失,10,shi4-fei1-de2-shi1,l
四稜豆,4,si4-leng2-dou4,n
食籃,3,shi2-lan2,n
思想戰線,3,si1-xiang3-zhan4-xian4,l
深井泵,3,shen1-jing3-beng4,nz
石板,482,shi2-ban3,n
上海醫科大學,10,shang4-hai3-yi1-ke1-da4-xue2,nt
散兵,35,san3-bing1,n
身土不二,3,shen1-tu3-bu4-er4,i
山水情,3,shan1-shui3-qing2,n
訴訟案,7,su4-song4-an4,n
蘇克,7,su1-ke4,ns
十五屆,60,shi2-wu3-jie4,m
守喪期間,3,shou3-sang4-qi1-jian1,l
所費不貲,2,suo3-fei4-bu4-zi1,i
雙掌力,5,shuang1-zhang3-li4,nr
三五成群,189,san1-wu3-cheng2-qun2,m
死症,2,si3-zheng4,n
設設,3,she4-she4,vn
山溜穿石,3,shan1-liu4-chuan1-shi2,n
溼淋淋,3,shi1-lin2-lin2,z
送去,3,song4-qu4,v
水輪發動,3,shui3-lun2-fa1-dong4,n
雙頭肌,3,shuang1-tou2-ji1,n
四杯,11,si4-bei1,m
四百三十八萬餘噸,2,si4-bai3-san1-shi2-ba1-wan4-yu2-dun1,m
石楠,7,shi2-nan2,nr
十年生聚,3,shi2-nian2-sheng1-ju4,i
試教,3,shi4-jiao4,n
山地氣候,3,shan1-di4-qi4-hou4,n
聖喜美,3,sheng4-xi3-mei3,ns
爽爽爽,3,shuang3-shuang3-shuang3,a
掃黃辦,2,sao3-huang2-ban4,n
社會工作者,12,she4-hui4-gong1-zuo4-zhe3,n
實施細則,3,shi2-shi1-xi4-ze2,n
嵩明縣,2,song1-ming2-xian4,ns
斯塔拉,4,si1-ta3-la1,nr
斯勃羅,4,si1-bo2-luo2,nr
水笙嚇,3,shui3-sheng1-xia4,nr
三維,236,san1-wei2,m
芟秋,3,shan1-qiu1,v
上勤下順,3,shang4-qin2-xia4-shun4,ns
深惡痛疾,3,shen1-e4-tong4-ji2,i
薩城邦,6,sa4-cheng2-bang1,nr
