chinese,frequency,pinyin,posseg
吐實,3,tu3-shi2,v
天目山,103,tian1-mu4-shan1,ns
突然襲擊,187,tu1-ran2-xi2-ji1,i
貪,871,tan1,v
捅鼓,3,tong3-gu3,v
推脫,38,tui1-tuo1,v
突出主題,3,tu1-chu1-zhu3-ti2,n
天經地義,143,tian1-jing1-de-yi4,nz
坦白罪行,3,tan3-bai2-zui4-xing2,n
啼明,3,ti2-ming2,v
土堤,6,tu3-di1,n
土豆絲,8,tu3-dou4-si1,n
羰,37,tang1,n
肽基,3,tai4-ji1,n
陶陶,3,tao2-tao2,nr
貪腐,3,tan1-fu3,n
頭顱,338,tou2-lu2,n
童女,17,tong2-nv3,n
脫貧致富,135,tuo1-pin2-zhi4-fu4,l
天球儀,21,tian1-qiu2-yi2,nz
托爾金,3,tuo1-er3-jin1,nr
太有錢,2,tai4-you3-qian2,n
通貨,234,tong1-huo4,n
同心協濟,3,tong2-xin1-xie2-ji4,n
臺拉維夫,3,tai2-la1-wei2-fu1,ns
套出來,3,tao4-chu1-lai2,l
堂姐,15,tang2-jie3,n
唐文成,7,tang2-wen2-cheng2,nr
田承嗣,7,tian2-cheng2-si4,nr
帖服,3,tie1-fu2,n
塗節,2,tu2-jie2,n
唐昭宗,29,tang2-zhao1-zong1,nr
聽巖,2,ting1-yan2,n
特文特,3,te4-wen2-te4,nr
田間去雜,3,tian2-jian1-qu4-za2,l
特萊尼,3,te4-lai2-ni2,nr
特別區,20,te4-bie2-qu1,n
甜膩膩,8,tian2-ni4-ni4,z
吞聲飲泣,3,tun1-sheng1-yin3-qi4,i
特等病房,3,te4-deng3-bing4-fang2,n
聽筒,62,ting1-tong3,n
唐宣宗,9,tang2-xuan1-zong1,nr
套上去,3,tao4-shang3-qu4,v
屯昌,2,tun2-chang1,ns
筳,2,ting2,zg
通淮右,2,tong1-huai2-you4,nr
糖蛋白,3,tang2-dan4-bai2,n
停過,3,ting2-guo4,v
屯積居奇,3,tun2-ji1-ju1-qi2,n
條件成熟,3,tiao2-jian4-cheng2-shu2,l
填志願,3,tian2-zhi4-yuan4,v
填息,3,tian2-xi1,v
痛悔,26,tong4-hui3,v
替代選擇,4,ti4-dai4-xuan3-ze2,n
頭名,42,tou2-ming2,n
談緒祥,4,tan2-xu4-xiang2,nr
退休幹部,3,tui4-xiu1-gan4-bu4,n
突尼西亞,3,tu1-ni2-xi1-ya4,ns
圖名,5,tu2-ming2,n
透明裝,3,tou4-ming2-zhuang1,n
屠潭州,2,tu2-tan2-zhou1,nr
譚量順,8,tan2-liang4-shun4,nr
通信產業,3,tong1-xin4-chan3-ye4,nt
套料,2,tao4-liao4,n
天然湖泊,13,tian1-ran2-hu2-po1,n
脫來脫去,3,tuo1-lai2-tuo1-qu4,i
天峰嶺,2,tian1-feng1-ling3,ns
跳海,3,tiao4-hai3,v
銻化銦,5,ti2-hua4-yin1,n
忝不知恥,3,tian3-bu4-zhi1-chi3,nr
退思補過,3,tui4-si1-bu3-guo4,l
脫水機,3,tuo1-shui3-ji1,n
踢踏舞,8,ti1-ta4-wu3,n
太師父,34,tai4-shi1-fu4,nr
特洛伊,85,te4-luo4-yi1,nrt
統計局,136,tong3-ji4-ju2,nt
特效代碼,3,te4-xiao4-dai4-ma3,n
土默特右旗,5,tu3-mo4-te4-you4-qi2,ns
梯隊式,3,ti1-dui4-shi4,n
同質,63,tong2-zhi4,n
挑三嫌四,3,tiao1-san1-xian2-si4,t
提案人,3,ti2-an4-ren2,n
坍縮,3,tan1-suo1,v
天保奴,2,tian1-bao3-nu2,nr
探險者,76,tan4-xian3-zhe3,n
天下本無,3,tian1-xia4-ben3-wu2,l
蹄子,296,ti2-zi,n
土豆條,3,tu3-dou4-tiao2,n
鐵打江山,2,tie3-da3-jiang1-shan1,i
通文墨,14,tong1-wen2-mo4,nr
探親流,3,tan4-qin1-liu2,nr
太高興,3,tai4-gao1-xing4,ns
塔蓬博,2,ta3-peng2-bo2,nr
塗過,3,tu2-guo4,v
條件優惠,3,tiao2-jian4-you1-hui4,n
洮南市,6,tao2-nan2-shi4,ns
太極劍,34,tai4-ji2-jian4,n
同程網,3,tong2-cheng2-wang3,n
逃出,539,tao2-chu1,v
投中,135,tou2-zhong1,v
唐末天,2,tang2-mo4-tian1,t
通統,34,tong1-tong3,n
唐宋八,23,tang2-song4-ba1,nr
天台路迷,3,tian1-tai2-lu4-mi2,nz
淘金路,3,tao2-jin1-lu4,n
土地價格,3,tu3-di4-jia4-ge2,n
統計鏈段,3,tong3-ji4-lian4-duan4,l
韜光,3,tao1-guang1,n
唐堯,12,tang2-yao2,nr
臺視,3,tai2-shi4,j
田賦,197,tian2-fu4,nr
搨,6,ta4,zg
碳化物,51,tan4-hua4-wu4,n
脫氧腺苷,3,tuo1-yang3-xian4-gan1,n
鐵牆鐵壁,3,tie3-qiang2-tie3-bi4,n
天星,751,tian1-xing1,nz
亭臺樓榭,2,ting2-tai2-lou2-xie4,i
鐵路工程,3,tie3-lu4-gong1-cheng2,n
汰衣裳,3,tai4-yi1-shang,nr
頭頸,329,tou2-jing3,n
同屬,152,tong2-shu3,n
特稿部,3,te4-gao3-bu4,n
唐洋,6,tang2-yang2,ns
天高皇帝,3,tian1-gao1-huang2-di4,nr
銅球,3,tong2-qiu2,n
突擊力,26,tu1-ji1-li4,n
團委書記,3,tuan2-wei3-shu1-ji4,n
徒陳空文,3,tu2-chen2-kong1-wen2,i
拖鞋,121,tuo1-xie2,n
退夥,5,tui4-huo3,v
套進,3,tao4-jin4,v
太陽網,3,tai4-yang2-wang3,nz
頹然,125,tui2-ran2,z
炭盆,9,tan4-pen2,n
談不隴,3,tan2-bu4-long3,nr
同心合德,3,tong2-xin1-he2-de2,i
拖車,85,tuo1-che1,n
提轄,113,ti2-xia2,v
橢圓函數,3,tuo3-yuan2-han2-shu4,n
韜光滅跡,3,tao1-guang1-mie4-ji1,i
泰阿,4,tai4-e1,ns
體育競賽,3,ti3-yu4-jing4-sai4,nr
投隙抵巇,3,tou2-xi4-di3-xi1,z
通心陽,2,tong1-xin1-yang2,nr
太水,3,tai4-shui3,n
挺棒,3,ting3-bang4,n
舔陰,3,tian3-yin1,v
通便藥,3,tong1-bian4-yao4,l
鐵一局,5,tie3-yi1-ju2,nt
貼劑,6,tie1-ji4,n
貼,4,tie1,zg
推請,3,tui1-qing3,v
逃,4781,tao2,v
探勝,3,tan4-sheng4,v
填記,3,tian2-ji4,v
體操課,3,ti3-cao1-ke4,n
託孤,49,tuo1-gu1,nr
推算,487,tui1-suan4,v
通宵徹夜,3,tong1-xiao1-che4-ye4,i
天元,80,tian1-yuan2,q
臺北工專,3,tai2-bei3-gong1-zhuan1,j
汰,54,tai4,vg
唐學華,5,tang2-xue2-hua2,nr
塔普,2,ta3-pu3,nrt
填充,231,tian2-chong1,v
頭頸部,61,tou2-jing3-bu4,n
啼叫,39,ti2-jiao4,v
特警組,3,te4-jing3-zu3,n
貪汙受賄,3,tan1-wu1-shou4-hui4,i
體操器械,3,ti3-cao1-qi4-xie4,n
譚耀銘,5,tan2-yao4-ming2,nr
統計算符,3,tong3-ji4-suan4-fu2,n
透視力,3,tou4-shi4-li4,n
天堂鳥,3,tian1-tang2-niao3,nr
跳上去,3,tiao4-shang3-qu4,v
鐵棒,472,tie3-bang4,n
特徵,5767,te4-zhi3,n
推土機,74,tui1-tu3-ji1,n
童氣,2,tong2-qi4,n
脫機設備,3,tuo1-ji1-she4-bei4,i
天然樹脂,3,tian1-ran2-shu4-zhi1,l
譚小環,3,tan2-xiao3-huan2,nr
推已及人,3,tui1-yi3-ji2-ren2,i
頭狀,3,tou2-zhuang4,n
託,3,tuo1,zg
頭戴式,3,tou2-dai4-shi4,n
譚利華,3,tan2-li4-hua2,nr
桃弧棘矢,3,tao2-hu2-ji2-shi3,n
桃源村,3,tao2-yuan2-cun1,ns
拓撲,146,ta4-pu1,v
同功一體,3,tong2-gong1-yi1-ti3,b
挑讀,3,tiao1-du2,v
土坯,90,tu3-pi1,n
停板,3,ting2-ban3,n
統治,11085,tong3-zhi4,v
踢掉,3,ti1-diao4,v
同是天涯淪落人,5,tong2-shi4-tian1-ya2-lun2-luo4-ren2,l
鐵虎車,2,tie3-hu3-che1,n
同溫層,16,tong2-wen1-ceng2,n
天街,142,tian1-jie1,ns
腿子,3,tui3-zi,n
臺灣航業,3,tai2-wan1-hang2-ye4,nt
投井下石,3,tou2-jing3-xia4-shi2,n
提示,989,ti2-shi4,v
唐至清,3,tang2-zhi4-qing1,nr
泰水,3,tai4-shui3,ns
天象,224,tian1-xiang4,n
鐵蛇,7,tie3-she2,n
體壇週報,3,ti3-tan2-zhou1-bao4,n
太伶俐,2,tai4-ling2-li4,i
貪婪無厭,4,tan1-lan2-wu2-yan4,i
檯球,65,tai2-qiu2,n
甜菜,273,tian2-cai4,n
擡愛,5,tai2-ai4,v
屯溪區,4,tun2-xi1-qu1,ns
塔克薩,3,ta3-ke4-sa4,nr
緹,18,ti2,zg
託爾特,8,tuo1-er3-te4,nrt
臺盟中央,4,tai2-meng2-zhong1-yang1,nt
突出端,3,tu1-chu1-duan1,i
天池,375,tian1-chi2,ns
推推拉拉,3,tui1-tui1-la1-la1,nz
銅臭氣,3,tong2-chou4-qi4,n
推輪捧轂,3,tui1-lun2-peng3-gu3,i
體性,18,ti3-xing4,n
屠城之,3,tu2-cheng2-zhi1,nr
談話,2436,tan2-hua4,vn
頭昏腦眩,3,tou2-hun1-nao3-xuan4,i
探究,313,tan4-jiu1,vn
土偶,3,tu3-ou3,n
徒呼奈何,3,tu2-hu1-nai4-he2,i
談利空,5,tan2-li4-kong1,nr
退休者,2,tui4-xiu1-zhe3,n
鐵壁,5,tie3-bi4,n
鐵粉,36,tie3-fen3,n
同德耀,2,tong2-de2-yao4,nr
通勤車,3,tong1-qin2-che1,j
天燈,14,tian1-deng1,n
套絲機,2,tao4-si1-ji1,n
塗有,3,tu2-you3,v
討論案件,3,tao3-lun4-an4-jian4,l
通用寄存器,6,tong1-yong4-ji4-cun2-qi4,n
特藥,3,te4-yao4,n
填發,3,tian2-fa1,v
唐長安,5,tang2-zhang3-an1,nr
太短,3,tai4-duan3,n
攤晒機,3,tan1-shai4-ji1,n
