chinese,frequency,pinyin,posseg
外胎,12,wai4-tai1,n
峞,263,wei2,zg
武夷,57,wu3-yi2,ns
王慶封,2,wang2-qing4-feng1,nr
唯美主義,3,wei2-mei3-zhu3-yi4,l
望丞相,3,wang4-cheng2-xiang4,nr
威孚,3,wei1-fu2,nz
胃藥片,3,wei4-yao4-pian4,n
無用信息,3,wu2-yong4-xin4-xi1,l
未婚同居,3,wei4-hun1-tong2-ju1,i
汪氏茶,2,wang1-shi4-cha2,nr
偽造證件,3,wei3-zao4-zheng4-jian4,n
維柳伊,3,wei2-liu3-yi1,nr
勿下,3,wu4-xia4,n
溫海濤,3,wen1-hai3-tao1,nr
外勤人員,3,wai4-qin2-ren2-yuan2,n
望門投止,4,wang4-men2-tou2-zhi3,i
衛津路,2,wei4-jin1-lu4,nr
外稿,3,wai4-gao3,n
武小武,2,wu3-xiao3-wu3,nr
萬招,5,wan4-zhao1,m
委任,239,wei3-ren4,n
未娶,3,wei4-qu3,v
維拉潘,3,wei2-la1-pan1,nrt
萬年青,22,wan4-nian2-qing1,nr
五萬二千,2,wu3-wan4-er4-qian1,m
無想,3,wu2-xiang3,l
位哥兒,2,wei4-ge1-er2,nr
灣,2030,wan1,zg
溫侯呂,4,wen1-hou2-lv3,nr
維賈亞納,5,wei2-jia3-ya4-na4,nr
韋查耶,5,wei2-cha2-ye2,nr
文藝性,2,wen2-yi4-xing4,n
屋頂風機,3,wu1-ding3-feng1-ji1,n
微音器,3,wei1-yin1-qi4,n
委靡,11,wei3-mi3,a
畏罪潛逃,3,wei4-zui4-qian2-tao2,i
五洋,5,wu3-yang2,ns
王建安,257,wang2-jian4-an1,nr
王本來,18,wang2-ben3-lai2,nr
握蛇騎虎,3,wo4-she2-qi2-hu3,i
溫瑞安,3,wen1-rui4-an1,nr
望帝啼鵑,3,wang4-di4-ti2-juan1,l
屋企,3,wu1-qi3,n
無須鱈,3,wu2-xu1-xue3,n
臥槽,3,wo4-cao2,n
勿施於人,28,wu4-shi1-yu2-ren2,i
無副作用,3,wu2-fu4-zuo4-yong4,l
伍斯特郡,3,wu3-si1-te4-jun4,nr
武帝西,2,wu3-di4-xi1,ns
望月樓,3,wang4-yue4-lou2,nr
妄求者,3,wang4-qiu2-zhe3,n
武昭儀,8,wu3-zhao1-yi2,nr
王湘浩,12,wang2-xiang1-hao4,nr
望空捉影,3,wang4-kong1-zhuo1-ying3,i
溫德殿,2,wen1-de2-dian4,nr
外周,85,wai4-zhou1,f
望子成才,3,wang4-zi-cheng2-cai2,nr
五內俱焚,3,wu3-nei4-ju4-fen2,i
無職,32,wu2-zhi2,v
武溪,2,wu3-xi1,ns
圍得,3,wei2-de2,v
文化部門,11,wen2-hua4-bu4-men2,n
衛氣營,13,wei4-qi4-ying2,nr
武裝泅渡,3,wu3-zhuang1-qiu2-du4,vn
物理試題,3,wu4-li3-shi4-ti2,n
未婚者,3,wei4-hun1-zhe3,n
衛生費,2,wei4-sheng1-fei4,n
王興兵,3,wang2-xing4-bing1,nr
王大珩,33,wang2-da4-hang2,nr
文童,3,wen2-tong2,n
無黨籍,3,wu2-dang3-ji2,n
維恭維謹,3,wei2-gong1-wei2-jin3,nr
聞天鶴,30,wen2-tian1-he4,nr
無影腳,3,wu2-ying3-jiao3,i
魏律序,2,wei4-lv4-xu4,nr
魏太武,31,wei4-tai4-wu3,nr
烏斯曼,10,wu1-si1-man4,nr
吳楚七,9,wu2-chu3-qi1,nr
萬餘支,2,wan4-yu2-zhi1,m
維薩裡,5,wei2-sa4-li3,nrt
外包裝,51,wai4-bao1-zhuang1,n
婉和,3,wan3-he2,a
吳雁澤,6,wu2-yan4-ze2,nr
萬處,4,wan4-chu4,m
魏運亨,5,wei4-yun4-heng1,nr
萬平方,8,wan4-ping2-fang1,m
網裡,3,wang3-li3,s
