chinese,frequency,pinyin,posseg
下部結構,3,xia4-bu4-jie2-gou4,l
吸,2556,xi1,v
嫌忌,3,xian2-ji4,n
櫶,4,xian3,zg
選品,3,xuan3-pin3,n
削來削去,3,xue1-lai2-xue1-qu4,n
詳察,11,xiang2-cha2,v
析骨而炊,3,xi1-gu3-er2-chui1,v
醑,6,xu3,g
下載方式,3,xia4-zai4-fang1-shi4,l
懸疑劇,3,xuan2-yi2-ju4,n
尋藏,4,xun2-cang2,v
星佔學,3,xing1-zhan4-xue2,n
熊宦途,3,xiong2-huan4-tu2,nr
珛,123,xiu4,zg
西加湖,4,xi1-jia1-hu2,ns
旋緊,3,xuan2-jin3,d
峋,42,xun2,x
胸飾,12,xiong1-shi4,n
休養,237,xiu1-yang3,v
尋找失物,3,xun2-zhao3-shi1-wu4,l
相持,357,xiang1-chi2,v
雪場,5,xue3-chang3,n
小半條,3,xiao3-ban4-tiao2,n
小丑跳樑,3,xiao3-chou3-tiao4-liang2,i
行蹤,220,xing2-zong1,v
心不由主,3,xin1-bu4-you2-zhu3,i
向嶽靈,3,xiang4-yue4-ling2,nr
攜龍握雨,3,xie2-long2-wo4-yu3,n
癬疥,3,xuan3-jie4,i
徇私作弊,3,xun4-si1-zuo4-bi4,i
細字筆,3,xi4-zi4-bi3,n
西條,3,xi1-tiao2,ns
先烈,212,xian1-lie4,a
西域,1364,xi1-yu4,ns
邪僻,3,xie2-pi4,a
雪地鞋,2,xue3-de-xie2,nz
徐世正,2,xu2-shi4-zheng4,nr
詳言之,3,xiang2-yan2-zhi1,n
休假日,3,xiu1-jia4-ri4,t
相關式,3,xiang1-guan1-shi4,l
夏盔,3,xia4-kui1,n
心理學史,3,xin1-li3-xue2-shi3,n
修習之,2,xiu1-xi2-zhi1,nr
消化管,3,xiao1-hua4-guan3,n
新舊社會,3,xin1-jiu4-she4-hui4,n
秀外慧中,9,xiu4-wai4-hui4-zhong1,nr
休會期間,3,xiu1-hui4-qi1-jian1,n
翕如,3,xi1-ru2,v
協處理器,18,xie2-chu4-li3-qi4,n
信守諾言,3,xin4-shou3-nuo4-yan2,nr
小中見大,4,xiao3-zhong1-jian4-da4,nr
小康,735,xiao3-kang1,nr
薪炭,5,xin1-tan4,n
