chinese,frequency,pinyin,posseg
月亮神,10,yue4-liang4-shen2,nr
英氣勃勃,3,ying1-qi4-bo2-bo2,i
驗票,7,yan4-piao4,n
印度工業聯合會,2,yin4-du4-gong1-ye4-lian2-he2-hui4,nt
燕文貴,3,yan4-wen2-gui4,nr
語言不通,3,yu3-yan2-bu4-tong1,i
閱覽者,3,yue4-lan3-zhe3,n
揚越,3,yang2-yue4,nz
預警系統,3,yu4-jing3-xi4-tong3,n
禹敷布,2,yu3-fu1-bu4,nr
楊文學,2,yang2-wen2-xue2,nr
一杯,1464,yi1-bei1,m
有血有肉,44,you3-xue4-you3-rou4,l
愈差,3,yu4-cha4,v
葉蟬科,2,ye4-chan2-ke1,nr
印把子,9,yin4-ba4-zi,n
圓弧,59,yuan2-hu2,n
語音聽覺,3,yu3-yin1-ting1-jue2,n
楊左使,11,yang2-zuo3-shi3,nr
移成,3,yi2-cheng2,v
遠大抱負,3,yuan3-da4-bao4-fu4,i
鹽溶液,52,yan2-rong2-ye4,n
壓分,3,ya1-fen1,n
由近及遠,48,you2-jin4-ji2-yuan3,l
疑罪從無,3,yi2-zui4-cong2-wu2,l
袁士霄,150,yuan2-shi4-xiao1,nr
顏骨柳筋,3,yan2-gu3-liu3-jin1,nr
一分耕耘,3,yi1-fen1-geng1-yun2,n
於都縣,4,yu2-dou1-xian4,ns
葉麗儀,3,ye4-li4-yi2,nr
顏若春,2,yan2-ruo4-chun1,nr
衣紫腰金,3,yi1-zi3-yao1-jin1,n
袁行霈,260,yuan2-xing2-pei4,nr
一所,806,yi1-suo3,m
燕窩鎮,3,yan4-wo1-zhen4,nr
約瑟,23,yue1-se4,nrt
引咎辭職,45,yin3-jiu4-ci2-zhi2,i
圓盤耙,4,yuan2-pan2-ba4,n
語焉不詳,17,yu3-yan1-bu4-xiang2,i
鬱林郡,4,yu4-lin2-jun4,nr
萸,9,yu2,x
語聲,191,yu3-sheng1,n
洋河,20,yang2-he2,ns
抑鬱,305,yi4-yu4,a
音隙,3,yin1-xi4,n
袁紹先生,3,yuan2-shao4-xian1-sheng1,nr
遇事,239,yu4-shi4,v
洋氣十足,3,yang2-qi4-shi2-zu2,i
一線天,12,yi1-xian4-tian1,l
液體燃料,3,ye4-ti3-ran2-liao4,n
原主,36,yuan2-zhu3,n
宇文化及,3,yu3-wen2-hua4-ji2,l
咿呀,21,yi1-ya1,o
瑤林玉樹,3,yao2-lin2-yu4-shu4,ns
億顆,2,yi4-ke1,m
菸斗架,3,yan1-dou4-jia4,n
陽原,8,yang2-yuan2,ns
語言特點,3,yu3-yan2-te4-dian3,n
洋琴,6,yang2-qin2,n
異木奇花,3,yi4-mu4-qi2-hua1,i
於己於人,3,yu2-ji3-yu2-ren2,i
餘年前,3,yu2-nian2-qian2,l
原告席,5,yuan2-gao4-xi2,n
已閱,3,yi3-yue4,v
意大利共和國,17,yi4-da4-li4-gong4-he2-guo2,ns
隱藏處,3,yin3-cang2-chu4,n
有亞爾,2,you3-ya4-er3,nr
言文行遠,3,yan2-wen2-xing2-yuan3,nr
影圈,3,ying3-quan1,n
殷殷田田,3,yin1-yin1-tian2-tian2,nr
漁翁之利,8,yu2-weng1-zhi1-li4,i
一瞬,232,yi1-shun4,t
一不怕苦,10,yi1-bu4-pa4-ku3,l
鷹犬塞途,3,ying1-quan3-sai1-tu2,n
玉釵,3,yu4-chai1,nr
伊吾廬,2,yi1-wu2-lu2,nr
垽,18,yin4,zg
楊哥哥,2,yang2-ge1-ge1,nr
要員,112,yao4-yuan2,n
嫣然一笑,162,yan1-ran2-yi2-xiao4,i
齬,102,yu3,x
尹儀民,3,yin3-yi2-min2,nr
養心,21,yang3-xin1,n
姚老闆,2,yao2-lao3-ban3,nr
葉對生,4,ye4-dui4-sheng1,nr
營業局,3,ying2-ye4-ju2,n
瓔,3,ying1,n
一年到頭,77,yi1-nian2-dao4-tou2,l
於水邊,2,yu2-shui3-bian1,nr
於柏林,8,yu2-bo2-lin2,nr
越陷越深,3,yue4-xian4-yue4-shen1,i
雲飄逸,3,yun2-piao1-yi4,nr
銀座區,3,yin2-zuo4-qu1,n
言方,14,yan2-fang1,n
壓濾,3,ya1-lv4,v
譯,1768,yi4,v
伊州,4,yi1-zhou1,ns
幽憤,6,you1-fen4,a
御法度,3,yu4-fa3-du4,n
元配,23,yuan2-pei4,nr
元旦假期,3,yuan2-dan4-jia4-qi1,t
夜半鐘聲,3,ye4-ban4-zhong1-sheng1,i
搖頭吧,3,yao2-tou2-ba,n
要好看,3,yao1-hao3-kan4,a
一言不發,425,yi1-yan2-bu4-fa1,i
一兩年,164,yi1-liang3-nian2,m
顏之推,14,yan2-zhi1-tui1,nr
醫藥集團,3,yi1-yao4-ji2-tuan2,n
友好人士,3,you3-hao3-ren2-shi4,n
營辦,4,ying2-ban4,v
驗尿,3,yan4-niao4,v
閱讀機,3,yue4-du2-ji1,n
耶律鑄,41,ye2-lv4-zhu4,nr
誘騙,103,you4-pian4,v
泳褲,3,yong3-ku4,n
藥箱,77,yao4-xiang1,n
宜章,4,yi2-zhang1,nr
郵區,3,you2-qu1,n
嚥下去,3,yan4-xia4-qu4,v
於富平,3,yu2-fu4-ping2,nr
語法學,22,yu3-fa3-xue2,n
壓下,3,ya1-xia4,n
圓滿結束,3,yuan2-man3-jie2-shu4,n
養兵,39,yang3-bing1,nr
魚龍曼衍,3,yu2-long2-man4-yan3,nr
餘錢,31,yu2-qian2,n
楊明傑,2,yang2-ming2-jie2,nr
英國式,24,ying1-guo2-shi4,nz
伊康,5,yi1-kang1,nz
盈月,3,ying2-yue4,n
咿啞,3,yi1-ya3,i
優化組合,3,you1-hua4-zu3-he2,n
遊素蘭,3,you2-su4-lan2,nr
壓破,3,ya1-po4,vn
楊明山,8,yang2-ming2-shan1,nr
螢火蟲,109,ying2-huo3-chong2,n
迎新會,3,ying2-xin1-hui4,nr
應昌一,3,ying1-chang1-yi1,nr
一年,7966,yi1-nian2,m
伊庇魯,8,yi1-bi4-lu3,nr
一汪,28,yi1-wang1,m
於長安,21,yu2-zhang3-an1,nr
煙火器材,3,yan1-huo3-qi4-cai2,n
永興縣,10,yong3-xing4-xian4,ns
一千多米,2,yi1-qian1-duo1-mi3,m
玉皇殿,6,yu4-huang2-dian4,nr
雨傘架,3,yu3-san3-jia4,n
一千三百萬斤,2,yi1-qian1-san1-bai3-wan4-jin1,m
印章機,3,yin4-zhang1-ji1,nr
陽澄湖,17,yang2-cheng2-hu2,nr
湧上來,3,yong3-shang4-lai2,v
繄,5,yi1,zg
遺憾終身,3,yi2-han4-zhong1-shen1,n
月旦評,3,yue4-dan4-ping2,n
勇氣十足,3,yong3-qi4-shi2-zu2,i
央傑本,2,yang1-jie2-ben3,vn
藥檢,11,yao4-jian3,j
一晃兒,3,yi1-huang3-er2,nr
越章王,2,yue4-zhang1-wang2,nr
以己度人,8,yi3-ji3-duo2-ren2,nz
演說家,3,yan3-shuo1-jia1,n
玉山一,3,yu4-shan1-yi1,nr
於天子,10,yu2-tian1-zi,nr
研精竭慮,3,yan2-jing1-jie2-lv4,n
野手,3,ye3-shou3,n
遠未,3,yuan3-wei4,d
鄖縣人,4,yun2-xian4-ren2,n
雅庫,5,ya3-ku4,nz
音符,107,yin1-fu2,n
養廉,19,yang3-lian2,nr
飲料瓶,4,yin3-liao4-ping2,n
英商寶,3,ying1-shang1-bao3,nz
一個二十,11,yi1-ge4-er4-shi2,m
袁先生,4,yuan2-xian1-sheng1,nr
一萬四千,3,yi1-wan4-si4-qian1,m
議決,82,yi4-jue2,v
液壓缸,3,ye4-ya1-gang1,n
雲夢縣,262,yun2-meng4-xian4,nr
依戀,200,yi1-lian4,v
遠遠望去,3,yuan3-yuan3-wang4-qu4,i
油桃,6,you2-tao2,n
藝齡,3,yi4-ling2,n
氧氣,513,yang3-qi4,n
慾海,3,yu4-hai3,n
一朝天子,3,yi1-chao2-tian1-zi,i
一錯,3,yi1-cuo4,a
有條不紊,145,you3-tiao2-bu4-wen3,i
勇奪,42,yong3-duo2,v
有碼,3,you3-ma3,n
淵謀遠略,3,yuan1-mou2-yuan3-lve4,n
伊圖爾,3,yi1-tu2-er3,nr
一部分一,19,yi1-bu4-fen4-yi1,m
一億,51,yi1-yi4,m
語尾詞,3,yu3-wei3-ci2,n
蚓,72,yin3,x
倚門,3,yi3-men2,v
野田,6,ye3-tian2,nz
引過,3,yin3-guo4,v
一千五百多個,2,yi1-qian1-wu3-bai3-duo1-ge4,m
一百二三十萬兩,3,yi1-bai3-er4-san1-shi2-wan4-liang3,m
印發,190,yin4-fa1,nz
緷,43,yun4,zg
陽萎,14,yang2-wei1,v
葉黃素,26,ye4-huang2-su4,nr
巖爆,9,yan2-bao4,n
押出,3,ya1-chu1,v
樣車,161,yang4-che1,n
液氮,24,ye4-dan4,n
愚陋,7,yu2-lou4,a
陽文,14,yang2-wen2,nr
尹大哥,3,yin3-da4-ge1,nr
意緒,5,yi4-xu4,n
餘家村,2,yu2-jia1-cun1,nr
佣金制,3,yong4-jin1-zhi4,n
有得賣,3,you3-de2-mai4,v
丫嬛,3,ya1-huan2,n
彝語,28,yi2-yu3,nz
伊爾格斯,4,yi1-er3-ge2-si1,nrt
英超,407,ying1-chao1,nr
原屬,3,yuan2-shu3,n
移山造海,3,yi2-shan1-zao4-hai3,n
鬱氣,3,yu4-qi4,n
一百七十餘,2,yi4-bai3-qi1-shi2-yu2,m
一瞧之下,3,yi1-qiao2-zhi1-xia4,vn
眼觀鼻鼻,3,yan3-guan1-bi2-bi2,i
英明,237,ying1-ming2,nz
鶯啼燕唱,3,ying1-ti2-yan4-chang4,i
鹽都區,3,yan2-dou1-qu1,ns
援手,114,yuan2-shou3,v
意慵心懶,3,yi4-yong1-xin1-lan3,v
眼淺,3,yan3-qian3,n
顏小將軍,12,yan2-xiao3-jiang1-jun1,nr
燕昭好馬,3,yan4-zhao1-hao3-ma3,nr
一馬當先,65,yi1-ma3-dang1-xian1,i
應供,3,ying1-gong1,v
英漢字典,3,ying1-han4-zi4-dian3,ns
玉檀驚,2,yu4-tan2-jing1,nr
尤素夫,3,you2-su4-fu1,nr
耘草,3,yun2-cao3,n
傴僂病,3,yu3-lou2-bing4,vn
有源元件,3,you3-yuan2-yuan2-jian4,n
一言興邦,3,yi1-yan2-xing4-bang1,i
用財,3,yong4-cai2,v
一億三千餘萬兩,2,yi1-yi4-san1-qian1-yu2-wan4-liang3,m
永久充填,3,yong3-jiu3-chong1-tian2,nr
遠遠近近,48,yuan3-yuan3-jin4-jin4,n
意識形態化,4,yi4-shi2-xing2-tai4-hua4,l
憶,3,yi4,zg
餘勇可賈,3,yu2-yong3-ke3-jia3,nr
一萬五千多,2,yi1-wan4-wu3-qian1-duo1,m
元豐郡,2,yuan2-feng1-jun4,nr
原子理論,3,yuan2-zi-li3-lun4,n
燕子銜食,3,yan4-zi-xian2-shi2,n
一葉荻,3,yi1-ye4-di2,nr
余光中,4,yu2-guang1-zhong1,nrfg
壓縮工具,3,ya1-suo1-gong1-ju4,n
雨紛飛,3,yu3-fen1-fei1,i
意志薄弱者,2,yi4-zhi4-bo2-ruo4-zhe3,n
言體,4,yan2-ti3,n
咬音咂字,3,yao3-yin1-za1-zi4,n
楊素工,3,yang2-su4-gong1,nr
言少敘,2,yan2-shao3-xu4,nr
衣夾,4,yi1-jia1,n
隱隱綽綽,2,yin3-yin3-chuo4-chuo4,i
螢,42,ying2,n
優化,952,you1-hua4,vn
原子能發電站,4,yuan2-zi3-neng2-fa1-dian4-zhan4,n
遺風餘採,3,yi2-feng1-yu2-cai3,i
油光滿面,3,you2-guang1-man3-mian4,l
雅園,17,ya3-yuan2,ns
育齡,65,yu4-ling2,b
一聲春雷,3,yi1-sheng1-chun1-lei2,i
壓電體,3,ya1-dian4-ti3,n
因為,35698,yin1-wei4,c
伊哈桑,3,yi1-ha1-sang1,nr
玉檀忙,12,yu4-tan2-mang2,nr
淵藪,16,yuan1-sou3,n
偃革尚文,3,yan3-ge2-shang4-wen2,ns
贏方,3,ying2-fang1,n
有命,3,you3-ming4,vn
運輸部隊,18,yun4-shu1-bu4-dui4,n
於寶山,2,yu2-bao3-shan1,nr
殞身,3,yun3-shen1,v
元寶草,3,yuan2-bao3-cao3,nr
雲母粉,3,yun2-mu3-fen3,nr
楊家埠,28,yang2-jia1-bu4,ns
夜闌,3,ye4-lan2,nr
豔婦,2,yan4-fu4,n
抑菌,24,yi4-jun1,v
優惠權,3,you1-hui4-quan2,n
硬變,3,ying4-bian4,v
鹽鹼土,16,yan2-jian3-tu3,n
一劃,3,yi1-hua4,n
陽三蒸,256,yang2-san1-zheng1,nr
疑難雜症,16,yi2-nan2-za2-zheng4,i
銀川市,57,yin2-chuan1-shi4,ns
引人注意,19,yin3-ren2-zhu4-yi4,i
元世祖,454,yuan2-shi4-zu3,nr
英秀,3,ying1-xiu4,nz
於釐毫,2,yu2-li2-hao2,nr
要言妙道,2,yao4-yan2-miao4-dao4,i
悠著點,3,you1-zhe-dian3,l
一截,3,yi1-jie2,m
用力一拍,3,yong4-li4-yi1-pai1,l
一不留神,3,yi1-bu4-liu2-shen2,i
養正兄,9,yang3-zheng4-xiong1,nr
隱鱗戢翼,3,yin3-lin2-ji2-yi4,v
印古什,13,yin4-gu3-shen2,ns
一棍子打死,16,yi1-gun4-zi-da3-si3,i
以管窺豹,3,yi3-guan3-kui1-bao4,i
園藝店,3,yuan2-yi4-dian4,n
陽證,3,yang2-zheng4,n
眼睛猴,3,yan3-jing1-hou2,l
躍身,3,yue4-shen1,v
源源不斷,222,yuan2-yuan2-bu4-duan4,i
擁彗迎門,3,yong1-hui4-ying2-men2,n
宜城鎮,4,yi2-cheng2-zhen4,ns
伊化,2,yi1-hua4,nz
以次充好,26,yi3-ci4-chong1-hao3,l
亞納,10,ya4-na4,ns
一英里,4,yi1-ying1-li3,m
泳帽,3,yong3-mao4,n
擁塞,22,yong1-sai1,v
英文字母,3,ying1-wen2-zi4-mu3,n
野性,89,ye3-xing4,b
英容,3,ying1-rong2,n
遺禍,6,yi2-huo4,n
引人注目,658,yin3-ren2-zhu4-mu4,i
誘騙性,4,you4-pian4-xing4,n
圓弧底,3,yuan2-hu2-di3,n
預祝,58,yu4-zhu4,v
鬱然,4,yu4-ran2,z
庸言,3,yong1-yan2,n
魚口,8,yu2-kou3,n
醫學界,72,yi1-xue2-jie4,n
運煤車,8,yun4-mei2-che1,n
遠者,3,yuan3-zhe3,n
一千二三百,2,yi1-qian1-er4-san1-bai3,m
圓規,23,yuan2-gui1,n
藝術境界,3,yi4-shu4-jing4-jie4,n
優劣勢,3,you1-lie4-shi4,l
氧化鐵紅,3,yang3-hua4-tie3-hong2,nz
伊斯蘭堡,61,yi1-si1-lan2-bao3,ns
英東,2,ying1-dong1,ns
伊瑪尼,6,yi1-ma3-ni2,nr
押租,85,ya1-zu1,n
押款,6,ya1-kuan3,n
於紹良,2,yu2-shao4-liang2,nr
椰子樹,50,ye1-zi-shu4,n
衣刷,3,yi1-shua1,n
有借有還,3,you3-jie4-you3-hai2,l
炎暑,11,yan2-shu3,n
欲語還休,3,yu4-yu3-hai2-xiu1,l
營,6010,ying2,n
以肉啖虎,3,yi3-rou4-dan4-hu3,nz
玉樹州,2,yu4-shu4-zhou1,nr
有界,3,you3-jie4,n
郵寄匯票,3,you2-ji4-hui4-piao4,n
一腳不移,3,yi1-jiao3-bu4-yi2,i
遺著,58,yi2-zhe,n
偃師市,7,yan3-shi1-shi4,ns
厭聞飫聽,3,yan4-wen2-yu4-ting1,vn
耀眼,492,yao4-yan3,a
葉紹鈞,4,ye4-shao4-jun1,nr
誘變,38,you4-bian4,v
銀匠,139,yin2-jiang4,n
以肉喂虎,3,yi3-rou4-wei4-hu3,nz
原子公式,7,yuan2-zi-gong1-shi4,n
尤內斯庫,3,you2-nei4-si1-ku4,nz
圓釘,3,yuan2-ding1,n
院裡,528,yuan4-li3,s
因病,3,yin1-bing4,n
遺尿,47,yi2-niao4,n
優惠卡,16,you1-hui4-ka3,n
野駱駝,3,ye3-luo4-tuo2,n
英文歌詞,3,ying1-wen2-ge1-ci2,l
袁貴妃,11,yuan2-gui4-fei1,nr
揚花,15,yang2-hua1,nz
一百拳,3,yi4-bai3-quan2,m
用費,38,yong4-fei4,n
玉臂匠,7,yu4-bi4-jiang4,nr
異寶奇珍,3,yi4-bao3-qi2-zhen1,i
餘香滿,3,yu2-xiang1-man3,nr
依蘭特,3,yi1-lan2-te4,nr
嶽樂嘆,2,yue4-le4-tan4,nr
永濟渠,47,yong3-ji4-qu2,nr
葉下珠,2,ye4-xia4-zhu1,nr
一夫,127,yi1-fu1,n
氧合作用,3,yang3-he2-zuo4-yong4,n
約吉,7,yue1-ji2,nrt
運動用品,3,yun4-dong4-yong4-pin3,n
椰城,3,ye1-cheng2,n
以備,280,yi3-bei4,v
幼齡,21,you4-ling2,n
音視頻,15,yin1-shi4-pin2,n
暈呼呼,3,yun1-hu1-hu1,z
掩飾,574,yan3-shi4,v
葉篤正,7,ye4-du3-zheng4,nr
意氣自若,3,yi4-qi4-zi4-ruo4,i
乙存,3,yi3-cun2,n
冶練,3,ye3-lian4,n
揚清激濁,3,yang2-qing1-ji1-zhuo2,nr
玉潤珠圓,3,yu4-run4-zhu1-yuan2,nr
元月,81,yuan2-yue4,t
印尼隊,118,yin4-ni2-dui4,nt
雲南省楚雄彝族自治州,2,yun2-nan2-sheng3-chu3-xiong2-yi2-zu2-zi4-zhi4-zhou1,ns
楊樹房,3,yang2-shu4-fang2,nr
一見鍾情,62,yi1-jian4-zhong1-qing2,i
陽明心,13,yang2-ming2-xin1,nr
乙丑年,3,yi3-chou3-nian2,m
瑜不掩瑕,3,yu2-bu4-yan3-xia2,z
壓強計,3,ya1-qiang2-ji4,l
泳道,7,yong3-dao4,n
衣式,2,yi1-shi4,n
以其,3,yi3-qi2,c
永磁性,3,yong3-ci2-xing4,n
葉城,16,ye4-cheng2,nr
意見欄,2,yi4-jian4-lan2,n
隱身技術,3,yin3-shen1-ji4-shu4,n
宇津保,2,yu3-jin1-bao3,nr
雲鬢,38,yun2-bin4,nr
